Scale,Method,No pooling,No pooling CI,Validation-selected pooling,Validation-selected pooling CI,Improvement from pooling
Small,BE,0.0762876054547342,0.006659794162859177,0.07907505006849311,0.0066250981938754646,-0.036538630320660084
Small,Gen2,0.13615996662253566,0.03168441954033826,0.07211253439284264,0.01227523351268219,0.47038372451460786
Medium,BE,0.12090742900664704,0.009038725817386314,0.11765933471450955,0.008679192180194147,0.026864307005973302
Medium,Gen2,0.07590485542580175,0.0066623209237466575,0.07275429078256881,0.006276987348484148,0.04150676034568912
Large,BE,0.44165443658100545,0.06530900113135338,0.4021635687618018,0.0626142880748922,0.08941576161877969
Large,Gen2,0.30909617346401813,0.05716827387644658,0.28421386507769264,0.06067991800500026,0.08050021489257304
