task,seed,method,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec
Small,20273006,MBQuadratic,1,0.0004788548465642117,0.09545870828923338,0.03932218639721279,0.008193832999950246
Small,20273007,BE,8,0.001023079798775336,0.10041775426953618,0.07579753628926093,0.001984415999686462
Small,20273007,Gen2,8,0.018272742155242123,0.08498221195455455,0.0631494660549913,0.003973958000187849
Small,20273007,MBLinear,1,0.12018478873194725,0.7095206230616727,0.340646974290371,0.00532666600020093
Small,20273007,MBQuadratic,2,0.0004928271766208961,0.025453672499348715,0.0132243987822505,0.011652667000362271
Small,20273008,BE,8,0.0017174158149700948,0.12206389794313889,0.08597684714223405,0.0020281250003790774
Small,20273008,Gen2,8,0.03226540908417503,0.11964137143187337,0.07663744247392186,0.004516292000062094
Small,20273008,MBLinear,4,0.10586533538890643,0.9288580634106256,0.42527857163121313,0.011635790999662277
Small,20273008,MBQuadratic,2,0.0004758462405141274,0.023752860053939718,0.011206762799392212,0.010312667000107467
Small,20273009,BE,8,0.0013042254074923652,0.09553205657628427,0.07355277095003221,0.002011541999763722
Small,20273009,Gen2,8,0.02433970543941744,0.0913627037770746,0.06481444516160718,0.005212125000070955
Small,20273009,MBLinear,4,0.11912101479494694,0.8446143130550708,0.3917519971394941,0.011606792000293353
Small,20273009,MBQuadratic,2,0.0004742966897970557,0.027764688089172568,0.012262461665120444,0.011034833999929106
Small,20273010,BE,8,0.0016053398148365087,0.10788755887950349,0.07936520986887882,0.0022396669996851415
Small,20273010,Gen2,8,0.027800204600746916,0.10221118436578641,0.06749650250070391,0.0049690830001054564
Small,20273010,MBLinear,1,0.12949667117398994,0.7346442973696699,0.33599052802925145,0.006171417000132351
Small,20273010,MBQuadratic,2,0.0004944938424574747,0.026634583835195177,0.012897468912746667,0.009552749999784282
Small,20273011,BE,8,0.002146233269378097,0.14571582621623377,0.08781047936347743,0.0019399170000724553
Small,20273011,Gen2,8,0.037241896126970826,0.14761759046883757,0.08152935938996386,0.0043417920001047605
Small,20273011,MBLinear,1,0.10698059504595923,0.8626019503383561,0.400055725535486,0.004957416999786801
Small,20273011,MBQuadratic,2,0.0004716859975230367,0.021790733192461133,0.010762548772446123,0.012231541999881301
Medium,20274000,BE,8,0.0009893216609816343,0.22923741135263145,0.1329506336796895,0.0022766249999222055
Medium,20274000,Gen2,8,0.015800650832193147,0.12154626953164636,0.07238272208128016,0.007619834000252013
Medium,20274000,MBLinear,1,0.13616432640636225,1.051772097460935,0.5063122304287924,0.007364208000126382
Medium,20274000,MBQuadratic,8,0.00019235713222197357,0.04829106545791739,0.024453532470838184,0.06071120800015706
