episodes,nonstat_scale,seed,be_integrated_rmse,gen2_integrated_rmse,relative_gain,be_bandwidth,gen2_bandwidth
160,0.0,0,0.07099772919549348,0.05591448914187244,0.21244679547551545,24,24
160,0.0,1,0.07988134916677073,0.07110459445687081,0.10987238950579585,24,24
160,0.0,2,0.0586871945345783,0.04808170369204523,0.18071217966100514,24,24
160,0.0,3,0.07437425462958543,0.060568500020028025,0.18562545168776176,24,24
160,0.0,4,0.0767436309167261,0.06557403478258529,0.14554427514982776,24,24
160,0.0,5,0.07814083726163892,0.07033878110938348,0.0998460782565181,24,24
160,0.0,6,0.06443284790370023,0.051362085402686955,0.20285868041326557,24,24
160,0.0,7,0.07270435057671637,0.05668748139651477,0.22030138572382787,24,24
160,0.0,8,0.06830626044628316,0.053720163186254055,0.21353968384054312,24,24
160,0.0,9,0.07475096411524026,0.06401404558507796,0.143635853493604,24,24
160,0.0,10,0.05969515383726158,0.0442014522651111,0.259547058281963,24,24
160,0.0,11,0.06467833340618703,0.048285851232246796,0.2534462672529555,24,24
160,0.0,12,0.056333263498390636,0.042381775628597615,0.2476598550018604,24,24
160,0.0,13,0.06007811653394345,0.04775097801393267,0.20518516942930615,24,24
160,0.0,14,0.06909351675337355,0.052715901584830194,0.2370354837632969,24,24
160,0.0,15,0.05836018241973802,0.04465630674095676,0.2348155045201926,24,24
160,0.0,16,0.10143756810105385,0.06726381441571123,0.33689444971017185,12,24
160,0.0,17,0.05635352745558637,0.04208882936229578,0.2531287523133837,24,24
160,0.0,18,0.08962546329309751,0.07957913252705913,0.11209237193211914,24,24
160,0.0,19,0.058989467936421625,0.04203078075391594,0.2874866950958707,24,24
160,0.35,0,0.06688126867805294,0.05494255951221869,0.1785060212195396,24,24
160,0.35,1,0.07723056559470344,0.066033963364431,0.14497630755458712,24,24
160,0.35,2,0.07347740492306976,0.068254018578968,0.07108833456449096,24,24
160,0.35,3,0.0857227810488704,0.07412854261246057,0.1352527098928344,24,24
160,0.35,4,0.06897442984403862,0.05295946218373819,0.23218702490926912,24,24
160,0.35,5,0.06268867587643294,0.05314938528413446,0.15216927872430405,24,24
160,0.35,6,0.06625791893454078,0.051279824093851276,0.22605742953513291,24,24
160,0.35,7,0.059899916507350076,0.04485347988698222,0.25119294813243304,24,24
160,0.35,8,0.061620245559522904,0.04738324461266192,0.23104420986295102,24,24
160,0.35,9,0.06574126942346838,0.05614862851791893,0.14591505441975933,24,24
160,0.35,10,0.06608717899739572,0.05408468392896652,0.18161609029948417,24,24
160,0.35,11,0.07191221538313462,0.058534651897697874,0.18602630184821356,24,24
160,0.35,12,0.06818011897195814,0.053789951399143054,0.21106105107756745,24,24
160,0.35,13,0.06315089248579998,0.05236298484720502,0.17082747707834398,24,24
160,0.35,14,0.0755905634835206,0.06077065946425857,0.19605494834673245,24,24
160,0.35,15,0.07274710296227245,0.04613345912881038,0.3658378512648708,16,24
160,0.35,16,0.05977006516183912,0.048070301526594666,0.19574620846681465,24,24
160,0.35,17,0.06746277793968967,0.05526397578783844,0.1808227073417687,24,24
160,0.35,18,0.06884469092861768,0.06077090041366197,0.11727542684921204,24,24
160,0.35,19,0.0626984465911096,0.04735252328897641,0.2447576317514249,24,24
160,0.7,0,0.07344874912100262,0.06026668156104493,0.17947300284503126,24,24
160,0.7,1,0.05933212920885522,0.050258442493759714,0.15293040779229738,24,24
160,0.7,2,0.057090736301796105,0.04595953191147746,0.19497391540855727,24,24
160,0.7,3,0.057155716241418554,0.04304966196263574,0.2468004113394471,24,24
160,0.7,4,0.06749644903018845,0.05791632500229287,0.14193523015723053,24,24
160,0.7,5,0.05893356915535863,0.04621675020098001,0.215782263600139,24,24
160,0.7,6,0.06701613428949842,0.05554852829592189,0.17111709165494982,24,24
160,0.7,7,0.06965281127283166,0.056163044726847716,0.19367153025804248,24,24
160,0.7,8,0.06749832505766239,0.05648301845378458,0.16319377694880075,24,24
160,0.7,9,0.07145693908091509,0.06173207305326099,0.1360940750154724,24,24
160,0.7,10,0.06437350963147244,0.06161751890165039,0.04281249765003703,24,24
160,0.7,11,0.06948832198308966,0.05470990306279524,0.2126748567031281,24,24
160,0.7,12,0.06259146046164116,0.05148829046407388,0.17739113156453337,24,24
160,0.7,13,0.05982755037829148,0.04678385057370622,0.2180216258581462,24,24
160,0.7,14,0.06933592515833267,0.06118905051594325,0.11749860730617723,24,24
160,0.7,15,0.05999696633237863,0.048893953746459655,0.18505956658556919,24,24
160,0.7,16,0.0624820468780195,0.04739626108234481,0.24144192691263616,24,24
160,0.7,17,0.06585615282487303,0.056878400358834694,0.13632367031691464,24,24
160,0.7,18,0.06882684798483206,0.060103697028869696,0.12674052657307155,24,24
160,0.7,19,0.06575250172799706,0.0512774847543713,0.22014397312980677,24,24
160,1.0,0,0.06269708620273673,0.04642012714165643,0.25961268771641594,24,24
160,1.0,1,0.07731713230194512,0.07169428320319914,0.07272449108416461,24,24
160,1.0,2,0.074956704177611,0.06744365823025031,0.10023180754530528,24,24
160,1.0,3,0.07306852882210796,0.06398224967959736,0.12435284094239785,24,24
160,1.0,4,0.06823351658357255,0.05838899477627922,0.1442769228409287,24,24
160,1.0,5,0.06976055697885836,0.057982517570897035,0.16883522606522158,24,24
160,1.0,6,0.06097252734399485,0.046604675556752614,0.23564468151667192,24,24
160,1.0,7,0.05618326462901492,0.043141688261976736,0.23212564191763033,24,24
160,1.0,8,0.06590575659619188,0.054850144114057545,0.16774881365633462,24,24
160,1.0,9,0.06632892259184625,0.05327394182194818,0.19682184271605982,24,24
160,1.0,10,0.11038576697189521,0.09932070884443353,0.10023989895616618,12,12
160,1.0,11,0.07109577217623143,0.05815889835037181,0.18196403850557866,12,6
160,1.0,12,0.06387517024281084,0.05370984428334397,0.15914362217470523,24,24
160,1.0,13,0.05456261687297049,0.04430283282723314,0.18803687641345315,24,24
160,1.0,14,0.05607936268425998,0.04378180931839917,0.2192883937554521,24,24
160,1.0,15,0.05766463845756355,0.04431739083720291,0.23146330190179062,24,24
160,1.0,16,0.07328646963023841,0.06118620952661608,0.16510905989432043,24,24
160,1.0,17,0.0691985127000958,0.05458880256385897,0.21112751656317905,24,24
160,1.0,18,0.06751688043504754,0.0588693887035082,0.12807895856293874,24,24
160,1.0,19,0.04988860915881929,0.037449062239813855,0.2493464365663996,24,24
160,1.5,0,0.06926570798313483,0.06252915217124061,0.09725672353676763,24,24
160,1.5,1,0.05852777624111038,0.04911024979292291,0.1609069582516023,24,24
160,1.5,2,0.06356150005696232,0.05398359985065669,0.15068713289840766,24,24
160,1.5,3,0.05515113675422081,0.047080814337971295,0.1463310258175572,24,24
160,1.5,4,0.08672545256851638,0.08260794456668229,0.0474775037764272,24,24
160,1.5,5,0.05891073916627523,0.04848748726474518,0.17693296755470142,24,24
160,1.5,6,0.06234940474952969,0.05736663947742969,0.07991680581581796,24,24
160,1.5,7,0.06911229260852393,0.06329687642697612,0.08414445480036885,24,24
160,1.5,8,0.05755622104073569,0.04674628288595947,0.18781528667640346,24,24
160,1.5,9,0.05822995935554129,0.05860446946754778,-0.006431570898406436,24,4
160,1.5,10,0.06034701027936585,0.051283106426352074,0.15019640262299708,24,24
160,1.5,11,0.06272826205524866,0.05408909849696874,0.13772362369406752,24,24
160,1.5,12,0.053952306338790605,0.03924715023583968,0.2725584335655771,24,24
160,1.5,13,0.05794975285896686,0.04756999331365238,0.17911654551100248,24,24
160,1.5,14,0.05580460506554578,0.04449690495306491,0.20263023274153294,24,24
160,1.5,15,0.05682827545533801,0.04558716430525011,0.19780841596930768,24,24
160,1.5,16,0.06411027922701903,0.05973369890336876,0.06826643677767331,24,24
160,1.5,17,0.06319618378974916,0.048757612876555084,0.22847219637866972,24,24
160,1.5,18,0.08175045902979093,0.07713021353648064,0.05651644710186413,24,24
160,1.5,19,0.057710523747959507,0.049119654008106375,0.1488614065845639,24,24
160,2.0,0,0.05113458254924788,0.04223284478618467,0.17408449075515414,24,24
160,2.0,1,0.05862896846409966,0.046544955930842784,0.20610992909855289,24,24
160,2.0,2,0.06942062559197117,0.06334998116091294,0.08744727347660679,4,4
