Scale,BE RMSE,BE CI,BE runtime,BE runtime CI,Gen2 RMSE,Gen2 CI,Gen2 runtime,Gen2 runtime CI,MBLinear RMSE,MBLinear CI,MBLinear runtime,MBLinear runtime CI,MBQuadratic RMSE,MBQuadratic CI,MBQuadratic runtime,MBQuadratic runtime CI
Small,0.07941939298356261,0.006130749397978977,0.0021929443331979805,0.0001614717179338375,0.06928968390809524,0.007231776966394009,0.0046669479166894234,0.00022703088863917654,0.36482069254723565,0.027821273121255555,0.007377593666660687,0.001885643613135986,0.014487151108881019,0.004512594585852889,0.011417437500009934,0.0016070287733147776
Medium,0.12185877068463082,0.014224374713455588,0.0023531319999771463,0.0001594739921630901,0.06431576463105788,0.006172617986880381,0.005192430500036001,0.0005749037320664608,0.622320351228297,0.0866687705907876,0.016763382000059817,0.005613547931828717,0.023861955122679076,0.002787641731310497,0.06008934016665535,0.0014352748278837046
Large,0.4261937499855448,0.032001341550166075,0.011073151125003733,0.002300827101065645,0.24406755968140253,0.029497527478206286,0.02085568212510225,0.0023927000125648027,3.3885062638123986,0.6401113877593504,0.04132165637503249,0.00796425032565859,3.2727877108458543,0.6374763645055066,0.12934091649998436,0.0064857071767300736
