task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec
large_lq,Large,20260337,Gen2,2,0,0.8285369667015213,0.5249649409188678,0.45881078053246876,0.014251369999954022
large_lq,Large,20260337,Gen2,2,1,0.42540407220980175,0.5239452498270734,0.48375250823124133,0.017856034999965686
large_lq,Large,20260337,Gen2,2,2,0.30930725332634,0.5166774752151946,0.4794962823713189,0.019549744999949326
large_lq,Large,20260337,Gen2,2,4,0.22314778721367348,0.4991175311008804,0.45212399742210274,0.027360007000027053
large_lq,Large,20260348,BE,-1,0,0.03790700636909027,0.492629723912182,0.4752524766900338,0.006774802999984786
large_lq,Large,20260348,BE,-1,1,0.025452076823178273,0.4755453454525039,0.4635555164278526,0.008647542000005615
large_lq,Large,20260348,BE,-1,2,0.021129834392193417,0.46146285685653,0.44927620726239365,0.010105372999987594
large_lq,Large,20260348,BE,-1,4,0.016577212588024425,0.4136216743594545,0.41243514201468734,0.011980821000008746
large_lq,Large,20260348,Gen2,2,0,0.8622368416564231,0.3827806160957793,0.30904047571644594,0.01383604599999444
large_lq,Large,20260348,Gen2,2,1,0.42110999360839446,0.3683869786211332,0.3047731323460574,0.017690083000047707
large_lq,Large,20260348,Gen2,2,2,0.31039230064877976,0.36111755155750236,0.2949398393484227,0.01974988299997449
large_lq,Large,20260348,Gen2,2,4,0.21005156250468343,0.3263115884976662,0.2680586627976143,0.025440276999972866
