task,label,seed,method,time_index,time,rmse
medium_cartpole_like_quadratic,Medium,20261202,MBLinear,10,0.8,0.19904884869255773
medium_cartpole_like_quadratic,Medium,20261202,MBLinear,13,1.04,0.1402870382525485
medium_cartpole_like_quadratic,Medium,20261202,MBLinear,16,1.28,0.05601287963584957
medium_cartpole_like_quadratic,Medium,20261202,MBLinear,18,1.44,0.03368950965667187
networked_lq_12d_linear,Large,20261301,BE,0,0.0,7.923693700605173
networked_lq_12d_linear,Large,20261301,BE,2,0.16,6.926253845884119
networked_lq_12d_linear,Large,20261301,BE,5,0.4,3.0100659920254933
networked_lq_12d_linear,Large,20261301,BE,8,0.64,2.9605249841131513
networked_lq_12d_linear,Large,20261301,BE,10,0.8,2.6481539229406894
networked_lq_12d_linear,Large,20261301,BE,13,1.04,2.3410700140646714
networked_lq_12d_linear,Large,20261301,BE,14,1.12,1.9823513979594478
networked_lq_12d_linear,Large,20261301,Gen2,0,0.0,7.924158818065141
networked_lq_12d_linear,Large,20261301,Gen2,2,0.16,6.933195810600649
networked_lq_12d_linear,Large,20261301,Gen2,5,0.4,3.009040424275704
networked_lq_12d_linear,Large,20261301,Gen2,8,0.64,2.9606172656247116
networked_lq_12d_linear,Large,20261301,Gen2,10,0.8,2.63716457475029
networked_lq_12d_linear,Large,20261301,Gen2,13,1.04,2.3350853255084427
networked_lq_12d_linear,Large,20261301,Gen2,14,1.12,1.9805342195534528
networked_lq_12d_linear,Large,20261301,MBLinear,0,0.0,4.039391238997415
networked_lq_12d_linear,Large,20261301,MBLinear,2,0.16,3.7198977920369924
networked_lq_12d_linear,Large,20261301,MBLinear,5,0.4,1.9981257967649646
networked_lq_12d_linear,Large,20261301,MBLinear,8,0.64,2.214969224572849
networked_lq_12d_linear,Large,20261301,MBLinear,10,0.8,0.7640969498158952
networked_lq_12d_linear,Large,20261301,MBLinear,13,1.04,0.8443548395297141
networked_lq_12d_linear,Large,20261301,MBLinear,14,1.12,0.5788674341542975
networked_lq_24d_linear,XLarge,20261401,BE,0,0.0,9.949399682047114
networked_lq_24d_linear,XLarge,20261401,BE,2,0.16,7.228459388245957
networked_lq_24d_linear,XLarge,20261401,BE,5,0.4,6.90671436402805
networked_lq_24d_linear,XLarge,20261401,BE,8,0.64,5.393214365605419
networked_lq_24d_linear,XLarge,20261401,BE,10,0.8,4.528742750430091
networked_lq_24d_linear,XLarge,20261401,BE,13,1.04,5.004945230214363
networked_lq_24d_linear,XLarge,20261401,BE,14,1.12,3.822183025731653
networked_lq_24d_linear,XLarge,20261401,Gen2,0,0.0,10.001316440901578
networked_lq_24d_linear,XLarge,20261401,Gen2,2,0.16,7.25819801218534
networked_lq_24d_linear,XLarge,20261401,Gen2,5,0.4,6.884179210744352
networked_lq_24d_linear,XLarge,20261401,Gen2,8,0.64,5.408737494212025
networked_lq_24d_linear,XLarge,20261401,Gen2,10,0.8,4.525729645422613
networked_lq_24d_linear,XLarge,20261401,Gen2,13,1.04,5.003904467493942
networked_lq_24d_linear,XLarge,20261401,Gen2,14,1.12,3.8282690323679467
networked_lq_24d_linear,XLarge,20261401,MBLinear,0,0.0,4.463026053597164
networked_lq_24d_linear,XLarge,20261401,MBLinear,2,0.16,4.113733597325125
networked_lq_24d_linear,XLarge,20261401,MBLinear,5,0.4,3.8275994866470624
networked_lq_24d_linear,XLarge,20261401,MBLinear,8,0.64,2.3588135920276416
networked_lq_24d_linear,XLarge,20261401,MBLinear,10,0.8,1.776339180706729
networked_lq_24d_linear,XLarge,20261401,MBLinear,13,1.04,0.7711092867143255
networked_lq_24d_linear,XLarge,20261401,MBLinear,14,1.12,0.6117500350987233
