task,seed,order,startup_mode,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec
Small,0,2,be,8,0.04724327224927495,0.156252704265919,0.10861020245071201,0.009483596000109173
Small,0,2,zero,2,0.04375747445454191,0.13787880787235005,0.08575122645734747,0.004674926999996387
Small,0,3,be,8,0.04091320571580069,0.12812366271531053,0.08811202292045828,0.008982539000044198
Small,0,3,zero,8,0.040531577523346844,0.10190029520317699,0.08038787385971742,0.005019438999852355
Medium,0,2,be,8,0.03588273337266234,0.09464444940939927,0.0684044816197255,0.009961235999981
Medium,0,2,zero,8,0.032397559155459575,0.33895394012985053,0.4011653491707358,0.005386476000012408
Medium,0,3,be,8,0.05540578650031893,0.16658304051805958,0.10129875374986376,0.011518932999933895
Medium,0,3,zero,8,0.020587067044877658,0.2743403821017605,0.22856414056972757,0.005222300000014002
