task,label,method,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec
small_pendulum,Small,BE,4,0.003083905126145555,0.07317360078864274,0.07300272596050174,0.004534875999979704
small_pendulum,Small,Generator,4,0.04630546512646296,0.06524593221860243,0.06706710132797154,0.00910706000013306
medium_cartpole_like,Medium,BE,4,0.002555412158498416,0.173883534105309,0.11631523974644647,0.005084306999833643
medium_cartpole_like,Medium,Generator,4,0.03697277209596467,0.12853408516104564,0.07937360103972119,0.010203641000089192
large_lq,Large,BE,4,0.022253511620173794,0.5990715311509565,0.38863961898124394,0.011968404000072042
large_lq,Large,Generator,4,0.24907893917128054,0.5379996300714243,0.3320587480410907,0.023523143000147684
