task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec
small_pendulum,Small,20260826,BE,-1,4,0.006510306410686525,0.09169838390363566,0.072172166419511,0.004620817999978044
small_pendulum,Small,20260826,Gen1,1,4,0.07968902835064752,0.09887528587240788,0.07506157874808221,0.008979941000006875
small_pendulum,Small,20260826,Gen2,2,4,0.08510379679636682,0.10026509302126448,0.07334096831375163,0.009124617999987095
small_pendulum,Small,20260826,Gen3,3,4,0.08902061117899782,0.08991029726587976,0.0631620106909171,0.008889841999973669
small_pendulum,Small,20260837,BE,-1,4,0.004124217475932118,0.08219501638618618,0.07972479963918636,0.00430015100005221
small_pendulum,Small,20260837,Gen1,1,4,0.05071833474941234,0.09190368659972921,0.08062009369299318,0.008503656000016235
small_pendulum,Small,20260837,Gen2,2,4,0.0560483451600326,0.10293340850198492,0.08217266434700482,0.009011059000044952
small_pendulum,Small,20260837,Gen3,3,4,0.05555482927150364,0.0864230152663022,0.0677605941404978,0.008731323999995766
small_pendulum,Small,20260848,BE,-1,4,0.004012709696011081,0.09331764463835426,0.07772566788406919,0.004353812999966067
small_pendulum,Small,20260848,Gen1,1,4,0.053966297093657724,0.07441053668772307,0.06451158532517931,0.00918907999999874
small_pendulum,Small,20260848,Gen2,2,4,0.0625478101284734,0.08789814652245345,0.07221514438315121,0.008597919000010279
small_pendulum,Small,20260848,Gen3,3,4,0.06146856511294445,0.11040502898398745,0.07727009201548583,0.008724002000008113
