task,task_label,seed,mismatch_type,mismatch_level,mismatch_metric,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec
small_pendulum_rich,Small,0,gain,0.0,0.19500476501266398,BE,-1,8,0.001423828000483584,0.10535985867093298,0.08461709472136852,0.0024302500096382573
small_pendulum_rich,Small,0,gain,0.0,0.19500476501266398,Gen2,2,8,0.024436257819543117,0.10139770385038581,0.07372021555424345,0.004855207997024991
small_pendulum_rich,Small,0,gain,0.0,0.19500476501266398,CTTDProxy,-1,8,0.024649438193815043,0.08769554572412595,0.055779372160348874,0.0029230839863885194
small_pendulum_rich,Small,1,gain,0.0,0.1944980821413848,BE,-1,8,0.0010121852370806224,0.09070827847868983,0.07423152712781457,0.0023631249932805076
small_pendulum_rich,Small,1,gain,0.0,0.1944980821413848,Gen2,2,8,0.01740782445318391,0.08025894145359011,0.06294223480969788,0.0046275409986265
small_pendulum_rich,Small,1,gain,0.0,0.1944980821413848,CTTDProxy,-1,8,0.017339763734732772,0.06363315235563684,0.046290596888654806,0.0022629579907516018
small_pendulum_rich,Small,2,gain,0.0,0.1929205592768726,BE,-1,8,0.0020055444157295217,0.1175528519574832,0.08291638727764668,0.004482125004869886
small_pendulum_rich,Small,2,gain,0.0,0.1929205592768726,Gen2,2,8,0.0328729833094887,0.10971408249359847,0.07215257449552985,0.005130707999342121
small_pendulum_rich,Small,2,gain,0.0,0.1929205592768726,CTTDProxy,-1,8,0.033104245562669415,0.07225409091624638,0.05221800947288004,0.0022209579910850152
small_pendulum_rich,Small,3,gain,0.0,0.1947268462150384,BE,-1,8,0.0013007101651470643,0.09619304654700764,0.0746091126668443,0.002289083000505343
small_pendulum_rich,Small,3,gain,0.0,0.1947268462150384,Gen2,2,8,0.0216627811644752,0.09605499883927263,0.06671599559344013,0.004807834004168399
small_pendulum_rich,Small,3,gain,0.0,0.1947268462150384,CTTDProxy,-1,8,0.020525487024388018,0.06468171929200493,0.045953914591932446,0.0024734170001465827
small_pendulum_rich,Small,4,gain,0.0,0.19514936202454844,BE,-1,8,0.0012003894231467484,0.11152048326793788,0.08598669424621476,0.0021582909976132214
small_pendulum_rich,Small,4,gain,0.0,0.19514936202454844,Gen2,2,8,0.020843102211666877,0.09498409445232213,0.0696330225371049,0.007166042007156648
small_pendulum_rich,Small,4,gain,0.0,0.19514936202454844,CTTDProxy,-1,8,0.020841941673330918,0.08133772802161156,0.054554855527330304,0.002169916988350451
small_pendulum_rich,Small,5,gain,0.0,0.19493962575743082,BE,-1,8,0.0007985401489192446,0.09361100933132462,0.0690708250639231,0.0023588330077473074
small_pendulum_rich,Small,5,gain,0.0,0.19493962575743082,Gen2,2,8,0.015453641918642652,0.08307780496458461,0.05703995378139259,0.004828750010346994
small_pendulum_rich,Small,5,gain,0.0,0.19493962575743082,CTTDProxy,-1,8,0.01374863345317154,0.0672659042252222,0.04450574941439065,0.0021784999989904463
small_pendulum_rich,Small,6,gain,0.0,0.19347308474103256,BE,-1,8,0.0011783989169301054,0.07788223350456282,0.0753657347035918,0.0028904170030727983
small_pendulum_rich,Small,6,gain,0.0,0.19347308474103256,Gen2,2,8,0.021204488046578387,0.06840633251193579,0.06332428540754129,0.0048299169866368175
small_pendulum_rich,Small,6,gain,0.0,0.19347308474103256,CTTDProxy,-1,8,0.02119859837701112,0.06670537926414633,0.043879412484965075,0.0024187499948311597
small_pendulum_rich,Small,7,gain,0.0,0.1909935864737883,BE,-1,8,0.0008922589554421481,0.11771383084564507,0.08049655440327144,0.002190666986280121
small_pendulum_rich,Small,7,gain,0.0,0.1909935864737883,Gen2,2,8,0.015394582416815638,0.11395121987207907,0.07044426084614802,0.004700334000517614
small_pendulum_rich,Small,7,gain,0.0,0.1909935864737883,CTTDProxy,-1,8,0.013853755877302481,0.09485831517392186,0.05665118484709845,0.0030169590027071536
small_pendulum_rich,Small,8,gain,0.0,0.19275821404382718,BE,-1,8,0.0006756313483196318,0.12204243386242733,0.09402735065666583,0.002283209003508091
small_pendulum_rich,Small,8,gain,0.0,0.19275821404382718,Gen2,2,8,0.012399933021953717,0.11533972268211504,0.08264098515601094,0.006350957992253825
small_pendulum_rich,Small,8,gain,0.0,0.19275821404382718,CTTDProxy,-1,8,0.010448988940419355,0.09640106925477092,0.06280728436287135,0.003367249999428168
small_pendulum_rich,Small,9,gain,0.0,0.1942269633144647,BE,-1,8,0.0019769322098218897,0.08505068206798849,0.07567700330242709,0.002232707993243821
small_pendulum_rich,Small,9,gain,0.0,0.1942269633144647,Gen2,2,8,0.035825571624020114,0.0793290980501933,0.06609538085186008,0.005086332996143028
small_pendulum_rich,Small,9,gain,0.0,0.1942269633144647,CTTDProxy,-1,8,0.03579359390800326,0.07556322976322598,0.049737775319791226,0.0022428749944083393
small_pendulum_rich,Small,10,gain,0.0,0.1926212650835182,BE,-1,8,0.001557368674825031,0.10992570116044496,0.07844529881889203,0.0024563750048400834
small_pendulum_rich,Small,10,gain,0.0,0.1926212650835182,Gen2,2,8,0.027287685475448277,0.10497159426506074,0.06684243224840886,0.0043800419953186065
small_pendulum_rich,Small,10,gain,0.0,0.1926212650835182,CTTDProxy,-1,8,0.027636756204082975,0.07386507086541937,0.0474900820809422,0.002492916988558136
small_pendulum_rich,Small,11,gain,0.0,0.19472237603594808,BE,-1,8,0.0013035815413366268,0.10105428768707385,0.07338738255900243,0.00221633400360588
small_pendulum_rich,Small,11,gain,0.0,0.19472237603594808,Gen2,2,8,0.02252289514682414,0.09558297490209638,0.065024940704039,0.008540041002561338
small_pendulum_rich,Small,11,gain,0.0,0.19472237603594808,CTTDProxy,-1,8,0.020729578876732446,0.06019469689516767,0.044672654969496656,0.0022567919950233772
small_pendulum_rich,Small,12,gain,0.0,0.19513084406688144,BE,-1,8,0.0013918208687088952,0.10610953059379769,0.08165580103167701,0.002082999999402091
small_pendulum_rich,Small,12,gain,0.0,0.19513084406688144,Gen2,2,8,0.02424715380050378,0.09234327315958392,0.06827182409708098,0.005276084004435688
