Scale,BE RMSE,BE CI,BE runtime,BE runtime CI,Gen2 RMSE,Gen2 CI,Gen2 runtime,Gen2 runtime CI,MBLinear RMSE,MBLinear CI,MBLinear runtime,MBLinear runtime CI,MBQuadratic RMSE,MBQuadratic CI,MBQuadratic runtime,MBQuadratic runtime CI
Small,0.07241822649012752,0.005776243506123324,0.004666735000000699,0.00013182959984987973,0.06146454504230077,0.0024150272090248,0.009598738000022422,0.0003756104798685555,0.3568813245812267,0.0028913242637783197,0.012382400999968013,0.0036971146799533016,0.014233893268514876,0.0023297802939975516,0.019346991000020353,0.008096683560197562
Medium,0.15398411542860252,0.06731278641712413,0.005510007999987465,0.0001036800800693527,0.07967299580466436,0.029130069011155797,0.011341329000060796,0.0010959810400891,0.5000108069336539,0.17740623465182526,0.03425953999987996,0.0018688600000723453,0.032311620911468414,0.0069786487984714535,0.08128353999995852,0.012018257439949592
Large,0.5292652869983588,0.0,0.024194670999804657,0.0,0.4034582691615614,0.0,0.04808966500013412,0.0,3.7919650520770465,0.0,0.033651747000021714,0.0,2.837610332938185,0.0,0.11504518100014138,0.0
