task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,gain_bias,family,dt,horizon_steps
small_pendulum_rich,Small,20262124,Gen1,1,8,0.013524982703004482,0.04748638214279645,0.036822557800463535,0.0020437919997675635,0.0,Small,0.12,28
small_pendulum_rich,Small,20262124,Gen2,2,8,0.01642366896471944,0.06688824321265914,0.04966799510617287,0.002254666999760957,0.0,Small,0.12,28
small_pendulum_rich,Small,20262124,Gen3,3,8,0.01851695038544224,0.12485690836992247,0.06655817335625903,0.0026998749999620486,0.0,Small,0.12,28
small_pendulum_rich,Small,20262125,BE,-1,8,0.0021031948784070425,0.07288441921823707,0.05170308854396189,0.0009927090000019234,0.0,Small,0.12,28
small_pendulum_rich,Small,20262125,Gen1,1,8,0.018390856586702496,0.05698047511304856,0.03731121903886774,0.0024734169996918354,0.0,Small,0.12,28
small_pendulum_rich,Small,20262125,Gen2,2,8,0.02109714507666269,0.046413754915307436,0.04421280037698787,0.0020682080003098235,0.0,Small,0.12,28
small_pendulum_rich,Small,20262125,Gen3,3,8,0.022889009133973882,0.07337216212429329,0.05182067756752328,0.002383958000336861,0.0,Small,0.12,28
small_pendulum_rich,Small,20262126,BE,-1,8,0.0022331697220297113,0.06497760605690352,0.05446696005459134,0.0009869579998849076,0.0,Small,0.12,28
small_pendulum_rich,Small,20262126,Gen1,1,8,0.01987613679055276,0.0460350550684318,0.038444606940273164,0.0021756249998361454,0.0,Small,0.12,28
small_pendulum_rich,Small,20262126,Gen2,2,8,0.019064540193619434,0.06693512851151819,0.05066475237557339,0.002009541999996145,0.0,Small,0.12,28
small_pendulum_rich,Small,20262126,Gen3,3,8,0.017734892632758868,0.09320690352670492,0.061881094442453585,0.002396249999947031,0.0,Small,0.12,28
small_pendulum_rich,Small,20262127,BE,-1,8,0.0041040655789166295,0.07553923617854584,0.05373802127131806,0.0009815419998631114,0.0,Small,0.12,28
small_pendulum_rich,Small,20262127,Gen1,1,8,0.035706522780060514,0.05915279527044696,0.04061151871883477,0.0025073330002669536,0.0,Small,0.12,28
small_pendulum_rich,Small,20262127,Gen2,2,8,0.03874651234282465,0.08653690609890849,0.05204623827080674,0.0019818749997284613,0.0,Small,0.12,28
small_pendulum_rich,Small,20262127,Gen3,3,8,0.03788633207154432,0.12491378471589093,0.06528217302682739,0.0020624170001610764,0.0,Small,0.12,28
small_pendulum_rich,Small,20262128,BE,-1,8,0.0026267536016306753,0.07570300556937842,0.059841078057462575,0.0010234999999738648,0.0,Small,0.12,28
small_pendulum_rich,Small,20262128,Gen1,1,8,0.022945882623269277,0.056702362278808816,0.046127801772764696,0.0019923340000786993,0.0,Small,0.12,28
small_pendulum_rich,Small,20262128,Gen2,2,8,0.02694434115843516,0.06799496012383006,0.06240942012986734,0.00196162500014907,0.0,Small,0.12,28
small_pendulum_rich,Small,20262128,Gen3,3,8,0.027322410531453917,0.08131886140868909,0.06158064003723775,0.002174583999931201,0.0,Small,0.12,28
small_pendulum_rich,Small,20262129,BE,-1,8,0.00388630478196406,0.0680815185196723,0.049951143302504344,0.0009952079999493435,0.0,Small,0.12,28
small_pendulum_rich,Small,20262129,Gen1,1,8,0.035118913387246944,0.053713569373697846,0.039096364265056784,0.0022018750000825094,0.0,Small,0.12,28
small_pendulum_rich,Small,20262129,Gen2,2,8,0.04367937103470706,0.06925704285316713,0.048104418435258964,0.0023843330000090646,0.0,Small,0.12,28
small_pendulum_rich,Small,20262129,Gen3,3,8,0.046103444059911805,0.09559853205312208,0.0537613525879615,0.0021291670000209706,0.0,Small,0.12,28
small_pendulum_rich,Small,20262130,BE,-1,8,0.003254521481973867,0.07697857553715601,0.05348689304567208,0.0009858339999482268,0.0,Small,0.12,28
small_pendulum_rich,Small,20262130,Gen1,1,1,0.026003581589083054,0.2234416844130666,0.11736005971647565,0.0027163750000909204,0.0,Small,0.12,28
small_pendulum_rich,Small,20262130,Gen2,2,8,0.03216315858882735,0.0983301072156238,0.058444402274587186,0.0023158750000220607,0.0,Small,0.12,28
small_pendulum_rich,Small,20262130,Gen3,3,8,0.03189668739472301,0.11877017496732203,0.06736978488439516,0.0019448339999144082,0.0,Small,0.12,28
small_pendulum_rich,Small,20262131,BE,-1,8,0.003766034153690903,0.06984523754145734,0.057456036932904006,0.0014635419997830468,0.0,Small,0.12,28
small_pendulum_rich,Small,20262131,Gen1,1,1,0.033569354519295276,0.16523415188471913,0.1069694133127978,0.0029589159998977266,0.0,Small,0.12,28
