episodes,nonstat_scale,seed,be_integrated_rmse,gen2_integrated_rmse,relative_gain
80,0.0,0,0.08706929978889141,0.07495180959509776,0.13917064020468492
80,1.0,0,0.09045445478710629,0.08534813122077688,0.05645187490596963
160,0.0,0,0.09718824625094376,0.08184212651373378,0.15790098421557802
160,1.0,0,0.07366175469970578,0.06083370813004361,0.17414799066296754
