task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,gain_bias,feature_family,task_family
small_pendulum_rich,Small,20266191,BE,-1,8,0.0011708985038778963,0.10275292350497753,0.08129274297832002,0.0014507079999930284,0.0,rich,Small
small_pendulum_rich,Small,20266191,Gen2,2,8,0.020122250028621017,0.09446126882620057,0.06865802165423927,0.003001624999797059,0.0,rich,Small
small_pendulum_quadratic,Small,20266009,BE,-1,8,0.0018249253593514722,0.109622968777003,0.0786551006718912,0.0013465829997585388,0.0,quadratic,Small
small_pendulum_quadratic,Small,20266009,Gen2,2,6,0.03437672553858475,0.10259254545708693,0.06425405390977063,0.0027140829997733817,0.0,quadratic,Small
small_pendulum_quadratic,Small,20266026,BE,-1,8,0.0008241374064901491,0.09835505305262852,0.07211753521864493,0.0013902910000069824,0.0,quadratic,Small
small_pendulum_quadratic,Small,20266026,Gen2,2,8,0.015866035285002075,0.09032034475190973,0.05974340459169781,0.002741667000009329,0.0,quadratic,Small
small_pendulum_quadratic,Small,20266043,BE,-1,8,0.0014021981379502908,0.1459932931541351,0.09264385813608565,0.0012856250000368163,0.0,quadratic,Small
small_pendulum_quadratic,Small,20266043,Gen2,2,8,0.026508656998965034,0.1435971521209119,0.08136715249319627,0.002696915999877092,0.0,quadratic,Small
small_pendulum_quadratic,Small,20266060,BE,-1,8,0.0014877248263564264,0.1330330314848917,0.09150167468687431,0.0013428340002974437,0.0,quadratic,Small
small_pendulum_quadratic,Small,20266060,Gen2,2,8,0.026281982808953632,0.1317618650362276,0.08148808597785824,0.0027831249999508145,0.0,quadratic,Small
small_pendulum_quadratic,Small,20266077,BE,-1,8,0.0008008180216642543,0.10363018458370137,0.07883658858863768,0.0013930830000390415,0.0,quadratic,Small
small_pendulum_quadratic,Small,20266077,Gen2,2,8,0.014820094684527874,0.09244631121298835,0.06520463845228687,0.0030264160000115226,0.0,quadratic,Small
small_pendulum_quadratic,Small,20266094,BE,-1,8,0.00206703711151093,0.1487863870820657,0.09487570983706063,0.0012865419998888683,0.0,quadratic,Small
small_pendulum_quadratic,Small,20266094,Gen2,2,8,0.03614601963565728,0.15057458340116697,0.08472390542188989,0.0027194999997846026,0.0,quadratic,Small
small_pendulum_quadratic,Small,20266111,BE,-1,8,0.0013029772623567915,0.12543037636342985,0.07743933240877951,0.0012998340002923214,0.0,quadratic,Small
small_pendulum_quadratic,Small,20266111,Gen2,2,8,0.021916926066327214,0.12433041197958826,0.0669041478474013,0.0029028749995632097,0.0,quadratic,Small
small_pendulum_quadratic,Small,20266128,BE,-1,8,0.0010811146851773753,0.09804404799579086,0.09356092046965853,0.0013927919999332516,0.0,quadratic,Small
small_pendulum_quadratic,Small,20266128,Gen2,2,8,0.018787289226483518,0.10134654710553902,0.08521685393221044,0.0028251250000721484,0.0,quadratic,Small
small_pendulum_quadratic,Small,20266145,BE,-1,8,0.0008991487905866306,0.09332405943358989,0.08028983834036375,0.0013305410002431017,0.0,quadratic,Small
small_pendulum_quadratic,Small,20266145,Gen2,2,8,0.016427892983189474,0.09358416461576988,0.06964267061549621,0.002837791000274592,0.0,quadratic,Small
small_pendulum_quadratic,Small,20266162,BE,-1,6,0.0024733050067640952,0.09815823233973812,0.08369696398091779,0.0013209170001573511,0.0,quadratic,Small
small_pendulum_quadratic,Small,20266162,Gen2,2,6,0.04357024351917261,0.09292868183309201,0.07132675162328826,0.002688417000172194,0.0,quadratic,Small
small_pendulum_quadratic,Small,20266179,BE,-1,8,0.0015522455809770356,0.10605479316676718,0.08041949549012362,0.001321624999945925,0.0,quadratic,Small
small_pendulum_quadratic,Small,20266179,Gen2,2,8,0.028618711092256346,0.10410229533333305,0.06963579523724153,0.0026791669997692225,0.0,quadratic,Small
small_pendulum_quadratic,Small,20266196,BE,-1,2,0.002160057669953712,0.09532468080196792,0.06898375093852743,0.0012489999999161228,0.0,quadratic,Small
small_pendulum_quadratic,Small,20266196,Gen2,2,2,0.03546519017956744,0.14808163154786955,0.08074803089148619,0.00264324999989185,0.0,quadratic,Small
small_pendulum_reduced,Small,20266007,BE,-1,6,0.0017929837195979023,0.6644783548941622,0.34252083891952484,0.0012475409998842224,0.0,reduced,Small
small_pendulum_reduced,Small,20266007,Gen2,2,8,0.029578360062779033,0.6561095445365804,0.3379904274798294,0.0026226249997307605,0.0,reduced,Small
small_pendulum_reduced,Small,20266024,BE,-1,8,0.002732032204115244,0.6462002490794834,0.35506913531771356,0.001258083000266197,0.0,reduced,Small
small_pendulum_reduced,Small,20266024,Gen2,2,8,0.04378018165180127,0.6146839179003513,0.3430332311785229,0.0026996659998985706,0.0,reduced,Small
small_pendulum_reduced,Small,20266041,BE,-1,8,0.002137221016923893,0.6087297406647016,0.31492530299650423,0.0012592499997481355,0.0,reduced,Small
small_pendulum_reduced,Small,20266041,Gen2,2,8,0.03491730192433319,0.5850998666626986,0.3054015636667758,0.002610125000046537,0.0,reduced,Small
small_pendulum_reduced,Small,20266058,BE,-1,4,0.0054058301476915,0.7363960370720891,0.3488824668033678,0.0012263749999874562,0.0,reduced,Small
small_pendulum_reduced,Small,20266058,Gen2,2,8,0.08727907365327507,0.7193764432217908,0.3413207602112712,0.0032258339997497387,0.0,reduced,Small
small_pendulum_reduced,Small,20266075,BE,-1,8,0.0026418067827362786,0.626980578904633,0.326627120249349,0.0013917920000494632,0.0,reduced,Small
small_pendulum_reduced,Small,20266075,Gen2,2,8,0.0427676734813096,0.5950955135586443,0.3134465981449986,0.0027520829999048146,0.0,reduced,Small
small_pendulum_reduced,Small,20266092,BE,-1,8,0.0009485657994679115,0.6884227741473137,0.3328886028205733,0.0013485839999702876,0.0,reduced,Small
small_pendulum_reduced,Small,20266092,Gen2,2,8,0.015642092034260854,0.656377431388553,0.31998431056970233,0.0027896250003323075,0.0,reduced,Small
small_pendulum_reduced,Small,20266109,BE,-1,6,0.0022471031270563627,0.7169523603622564,0.3528218087874861,0.0012830839996240684,0.0,reduced,Small
small_pendulum_reduced,Small,20266109,Gen2,2,8,0.03610280974434135,0.6950950970027442,0.34474255551577515,0.002661166000052617,0.0,reduced,Small
