nonstat_scale,episodes,be_integrated_rmse,gen2_integrated_rmse,relative_improvement
0.0,80,0.08211484415738493,0.06274493935013369,0.23588798110760623
0.0,140,0.08953436958194462,0.09633143281050394,-0.07591568757669571
0.0,220,0.08542104233075562,0.06169996909806621,0.2776959000434569
0.0,320,0.06336930471844875,0.0604665541138628,0.0458068873799852
0.5,80,0.14520272320626632,0.15271049374288234,-0.05170543892590042
0.5,140,0.0788787963432812,0.07891101659241487,-0.00040847795132989477
0.5,220,0.09621970311001388,0.09864965542423443,-0.025254207149675346
0.5,320,0.07080438478223013,0.07959566571956146,-0.1241629450544664
1.0,80,0.1328464246164771,0.1901865250333524,-0.43162697515130055
1.0,140,0.06633242394947063,0.05506767352127476,0.1698226863649202
1.0,220,0.09122226171482063,0.09483862609861064,-0.039643441368462255
1.0,320,0.07847498488078847,0.08055957232993183,-0.02656371902855492
1.5,80,0.08603903428703964,0.07747120189938381,0.09958075957794005
1.5,140,0.06845402067634403,0.05312975886932231,0.2238621143888104
1.5,220,0.0808568385607151,0.06551473837617912,0.18974400258075458
1.5,320,0.07669117874701446,0.06717647380773636,0.12406518056874305
