time_index,time,bandwidth_steps,min_eig,max_eig,cond,task,seed
45,2.6999999999999997,0,6.552846616818182e-10,1.9733403473521094,3011424595.667234,Small,0
46,2.76,0,5.608002082977495e-10,1.9758373678892291,3523246494.302627,Small,0
47,2.82,0,3.807845664063768e-10,1.9841330022378805,5210644488.4648905,Small,0
48,2.88,0,2.4332230245217796e-10,1.9981547406830913,8211967092.80607,Small,0
49,2.94,0,1.763974216354348e-10,2.0165461703549825,11431834726.715176,Small,0
50,3.0,0,1.195435871832555e-10,2.0359909786364336,17031369282.196138,Small,0
51,3.06,0,5.1446470593863863e-11,2.0504396739485347,20504396739.485344,Small,0
52,3.12,0,1.7975647524999243e-11,2.0571022371928955,20571022371.928955,Small,0
53,3.1799999999999997,0,3.767954666528361e-12,2.0529300322071227,20529300322.071224,Small,0
54,3.2399999999999998,0,8.69321748300402e-13,2.0405091296735023,20405091296.735023,Small,0
55,3.3,0,2.4990941960630024e-12,2.0273495663885983,20273495663.885983,Small,0
0,0.0,1,5.3013898271366167e-05,2.427777715098392,45795.11777593012,Small,0
1,0.06,1,4.6797916990612504e-05,3.0263776872538557,64669.06823782213,Small,0
2,0.12,1,3.291857599156703e-05,5.364415780819686,162960.14086982148,Small,0
3,0.18,1,1.82939261291911e-05,10.100753622518305,552137.0071786186,Small,0
4,0.24,1,8.534727080631038e-06,17.21343570342227,2016870.0815854967,Small,0
5,0.3,1,3.734650687703043e-06,25.794020719005744,6906675.583860316,Small,0
6,0.36,1,1.5874051259408623e-06,33.83257260225603,21313130.497927118,Small,0
7,0.42,1,5.954626329217547e-07,38.866704613510215,65271441.84145203,Small,0
8,0.48,1,1.500631763386817e-07,39.25852149853199,261613291.52415353,Small,0
9,0.54,1,4.336816599590193e-08,34.955875255477785,806026135.8246262,Small,0
10,0.6,1,1.1986514605551816e-07,27.47003959652082,229174539.0590645,Small,0
11,0.6599999999999999,1,2.732643695495274e-07,19.039941842251416,69675903.49828081,Small,0
12,0.72,1,5.027541042341091e-07,11.582686678652003,23038472.647174027,Small,0
13,0.78,1,7.998509798588756e-07,6.1918159797305385,7741211.970288531,Small,0
14,0.84,1,1.093566314792573e-06,3.13391374019858,2865773.8427074896,Small,0
15,0.8999999999999999,1,1.2651750249721452e-06,2.1049857557717493,1663790.15885023,Small,0
16,0.96,1,1.2004137166019081e-06,1.9934612131409664,1660645.1472280666,Small,0
17,1.02,1,8.973548981726756e-07,2.2019244759105816,2453794.457905629,Small,0
18,1.08,1,5.170923906786526e-07,2.826690288402644,5466509.156502542,Small,0
19,1.14,1,2.444757086319074e-07,3.970526977829148,16240987.704047665,Small,0
20,1.2,1,1.1610629519501852e-07,5.445072104449977,46897302.98692362,Small,0
21,1.26,1,6.182919900800347e-08,6.8131783508140105,110193540.59450261,Small,0
22,1.3199999999999998,1,2.9370964771598285e-08,7.634658393922411,259938972.15474257,Small,0
23,1.38,1,8.66313251723024e-09,7.64318932528186,882266236.8467988,Small,0
24,1.44,1,1.5278835359780567e-09,6.819039535300927,4463062383.178178,Small,0
25,1.5,1,2.416028651048172e-09,5.445309135688791,2253826391.2252836,Small,0
26,1.56,1,5.5406793567696405e-09,3.966751253513329,715932288.8206344,Small,0
27,1.6199999999999999,1,1.0323727666221277e-08,2.803481331841806,271557079.23356575,Small,0
28,1.68,1,1.6872799402321265e-08,2.199840352992319,130377911.84133187,Small,0
29,1.74,1,2.2980786916890736e-08,2.0011788698822603,87080519.78896363,Small,0
30,1.7999999999999998,1,2.5332536062563703e-08,1.9546442789527023,77159439.31256318,Small,0
31,1.8599999999999999,1,2.2386014176280395e-08,1.9625110761046103,87666837.9038209,Small,0
32,1.92,1,1.557963930530527e-08,2.0096746514830706,128993657.17656407,Small,0
33,1.98,1,8.615914504175654e-09,2.1039046829799584,244188203.34861875,Small,0
34,2.04,1,4.3049271076096905e-09,2.2409889584001323,520563740.6586521,Small,0
35,2.1,1,2.5605988403744728e-09,2.388930253357794,932957640.8807664,Small,0
36,2.16,1,1.591557373096296e-09,2.5025053555017287,1572362641.6515722,Small,0
37,2.2199999999999998,1,6.652143279632583e-10,2.5418010465422887,3821025705.0907655,Small,0
38,2.28,1,1.4510655346393624e-10,2.4847812879864013,17123839197.269278,Small,0
39,2.34,1,4.6208716117065835e-11,2.356391813955351,23563918139.55351,Small,0
40,2.4,1,1.0886200411734641e-10,2.215706784948933,20353352879.30709,Small,0
41,2.46,1,2.1835804603370883e-10,2.1042913693511847,9636884958.323618,Small,0
42,2.52,1,3.60063440272908e-10,2.0328455600699957,5645798303.013525,Small,0
43,2.58,1,5.02903744973679e-10,1.9948380340997658,3966639847.1623464,Small,0
44,2.6399999999999997,1,6.123671633853172e-10,1.9786398459328125,3231133157.0987606,Small,0
45,2.6999999999999997,1,6.472116997025433e-10,1.9744978162497069,3050775839.1221614,Small,0
46,2.76,1,5.760190521113027e-10,1.9769803929680076,3432144103.084286,Small,0
47,2.82,1,4.2449483328922654e-10,1.9848665867458446,4675832144.683537,Small,0
48,2.88,1,2.7786059234976494e-10,1.998297057605711,7191725320.625163,Small,0
49,2.94,1,1.8922742632134253e-10,2.015897546920252,10653305316.835478,Small,0
50,3.0,1,1.301697270192851e-10,2.034166843750331,15627034720.97596,Small,0
51,3.06,1,7.201867882234806e-11,2.0482684197970977,20482684197.970978,Small,0
52,3.12,1,2.977121013046778e-11,2.0542703220911687,20542703220.911686,Small,0
53,3.1799999999999997,1,9.05562900524837e-12,2.0505355462277524,20505355462.277523,Small,0
54,3.2399999999999998,1,2.240738326721833e-12,2.0398045402430864,20398045402.430862,Small,0
55,3.3,1,2.058096770053458e-12,2.03149448664452,20314944866.4452,Small,0
0,0.0,2,5.0251805766981496e-05,2.7321066938454415,54368.32870273892,Small,0
1,0.06,2,4.433554159504276e-05,3.7498946695458795,84579.87733176045,Small,0
2,0.12,2,3.5452414455490495e-05,6.195226851989183,174747.67084670963,Small,0
3,0.18,2,2.1800075495538614e-05,10.977699905243536,503562.47195061884,Small,0
4,0.24,2,1.133311018375204e-05,17.729905251079167,1564434.2076986097,Small,0
5,0.3,2,5.656368845425765e-06,25.485178874810973,4505572.31525319,Small,0
6,0.36,2,2.8795490231671194e-06,32.52067504527565,11293669.523815662,Small,0
7,0.42,2,1.3354951250682786e-06,36.876405035900035,27612534.36549586,Small,0
8,0.48,2,4.428073908342953e-07,37.252943777666445,84129001.7934841,Small,0
9,0.54,2,1.292345343993228e-07,33.57126869911196,259770105.99488702,Small,0
10,0.6,2,1.8929166073884409e-07,27.010417175273282,142692060.86441472,Small,0
11,0.6599999999999999,2,3.5384998610227543e-07,19.374011141318388,54752047.20149007,Small,0
12,0.72,2,5.679797098179655e-07,12.359394364713218,21760274.4447937,Small,0
13,0.78,2,8.383813645425616e-07,7.026584641488803,8381131.712442886,Small,0
14,0.84,2,1.0798444751837673e-06,3.714155657644251,3439528.3237543795,Small,0
15,0.8999999999999999,2,1.207145972222989e-06,2.3232203731945225,1924556.2895067735,Small,0
16,0.96,2,1.176928744514256e-06,2.0988753151774926,1783349.5230365405,Small,0
17,1.02,2,9.603044610275916e-07,2.304167489301058,2399413.501459153,Small,0
18,1.08,2,6.195007003210663e-07,2.936445049404801,4740018.934414345,Small,0
19,1.14,2,3.238818353738747e-07,4.025334269858209,12428403.9122217,Small,0
20,1.2,2,1.6606598472886078e-07,5.354231238358042,32241589.071356192,Small,0
21,1.26,2,9.936847546069864e-08,6.561495839306443,66031966.46507462,Small,0
22,1.3199999999999998,2,5.6900267441920834e-08,7.2815995835564875,127971271.68143721,Small,0
23,1.38,2,2.2530181102593298e-08,7.286422593944555,323407191.4808472,Small,0
24,1.44,2,5.63835973982154e-09,6.571177369539257,1165441311.438429,Small,0
25,1.5,2,3.9337148509723326e-09,5.363477426102375,1363463705.2496662,Small,0
26,1.56,2,7.1892575291274175e-09,4.018600971904413,558973017.119358,Small,0
27,1.6199999999999999,2,1.1910623520092856e-08,2.905718676052951,243960248.69320175,Small,0
28,1.68,2,1.7659564913544943e-08,2.2672717285438955,128387745.65758927,Small,0
29,1.74,2,2.2428626327257706e-08,2.0327157330479064,90630415.94203784,Small,0
30,1.7999999999999998,2,2.4316949638244718e-08,1.9718203331260895,81088309.2846847,Small,0
31,1.8599999999999999,2,2.26193017600306e-08,1.975020407506001,87315710.64655751,Small,0
32,1.92,2,1.7261159393517372e-08,2.019087182266663,116972860.06320958,Small,0
33,1.98,2,1.052439850877589e-08,2.1067587436350212,200178541.49843115,Small,0
34,2.04,2,5.657881025555324e-09,2.2317111987428238,394442935.20183736,Small,0
35,2.1,2,3.4417332586987373e-09,2.3661356221056313,687483731.0896744,Small,0
36,2.16,2,2.383093818399315e-09,2.468021822414143,1035637708.9979079,Small,0
37,2.2199999999999998,2,1.2895672958865684e-09,2.5005704528959916,1939077131.4318008,Small,0
38,2.28,2,4.2312425570514755e-10,2.4506343209385015,5791760429.461686,Small,0
39,2.34,2,1.2497983729671756e-10,2.3403704948914337,18725984490.88316,Small,0
40,2.4,2,1.5107010481166985e-10,2.213641542352815,14653074776.855625,Small,0
41,2.46,2,2.535782187755888e-10,2.1079291543976244,8312737444.784624,Small,0
42,2.52,2,3.758440895948175e-10,2.037696901168483,5421654770.107579,Small,0
43,2.58,2,5.018942767449589e-10,1.999063267948335,3983036588.7279744,Small,0
44,2.6399999999999997,2,5.934897763213315e-10,1.9817614492112776,3339166954.9810376,Small,0
45,2.6999999999999997,2,6.253656840920347e-10,1.9767745476202139,3160989798.2974277,Small,0
46,2.76,2,5.83514059106075e-10,1.9788057071932226,3391187712.297267,Small,0
47,2.82,2,4.6507651449052147e-10,1.986196056791,4270686639.523871,Small,0
48,2.88,2,3.201182746990843e-10,1.998613201733137,6243358657.395807,Small,0
49,2.94,2,2.1075680697719042e-10,2.0148226771628273,9559941176.091578,Small,0
50,3.0,2,1.4713162567415095e-10,2.0315958180276663,13808015841.04695,Small,0
51,3.06,2,9.698409123040387e-11,2.0445497940584065,20445497940.584064,Small,0
52,3.12,2,5.1412100536451556e-11,2.0500841053061856,20500841053.061855,Small,0
53,3.1799999999999997,2,1.9281253567205998e-11,2.0472394946473234,20472394946.473232,Small,0
54,3.2399999999999998,2,5.95646391766278e-12,2.0416112227513583,20416112227.513584,Small,0
55,3.3,2,2.356091657040879e-12,2.0354190188637666,20354190188.637665,Small,0
0,0.0,4,4.4228308430634254e-05,4.466600609592286,100989.63238889199,Small,0
1,0.06,4,3.93185515661317e-05,6.439931903733637,163788.63531892866,Small,0
2,0.12,4,3.3088077198359744e-05,9.460802595374595,285927.84460269543,Small,0
3,0.18,4,2.6046757690288225e-05,13.552835508411862,520327.16200470366,Small,0
4,0.24,4,1.879950730857562e-05,18.586258838044238,988656.6989745466,Small,0
5,0.3,4,1.1795887485171862e-05,24.275338442044905,2057949.3041587977,Small,0
6,0.36,4,7.809851834169606e-06,29.070327609378644,3722263.6519415597,Small,0
7,0.42,4,4.9221629224104375e-06,31.935247580184033,6488051.712954067,Small,0
8,0.48,4,2.473433883462854e-06,32.21794108895341,13025592.195675626,Small,0
9,0.54,4,9.311290305940639e-07,29.85461628459204,32062813.319808833,Small,0
10,0.6,4,4.754148429182894e-07,25.39708533528784,53420892.74998276,Small,0
11,0.6599999999999999,4,5.537702604264796e-07,19.807806825259423,35768997.07471592,Small,0
12,0.72,4,7.171891950560617e-07,14.142434642297008,19719252.241650842,Small,0
13,0.78,4,8.901566804274546e-07,9.25522582910666,10397299.748019964,Small,0
14,0.84,4,1.03542946230086e-06,5.655143841809628,5461640.843445923,Small,0
15,0.8999999999999999,4,1.0913962989624068e-06,3.519397257709233,3224673.9896911257,Small,0
16,0.96,4,1.0777728145149193e-06,2.727740693113489,2530905.0816439292,Small,0
17,1.02,4,9.94416757369914e-07,2.7617238223884173,2777229.770034015,Small,0
18,1.08,4,7.938697384000881e-07,3.276094511574219,4126740.6390582924,Small,0
19,1.14,4,5.264462786443326e-07,4.122655322301767,7831103.551378763,Small,0
20,1.2,4,3.238561735564482e-07,5.0841496714115095,15698788.803621003,Small,0
21,1.26,4,2.2546216904444402e-07,5.907378459430507,26201195.90114482,Small,0
22,1.3199999999999998,4,1.6512393081811707e-07,6.38197340907797,38649597.16897529,Small,0
23,1.38,4,9.729179020525459e-08,6.38802269889791,65658394.0476501,Small,0
24,1.44,4,4.0504768594061604e-08,5.918717270496589,146123962.08984467,Small,0
25,1.5,4,1.524430004690687e-08,5.088590712231772,333802844.1170881,Small,0
26,1.56,4,1.1878757506781174e-08,4.094690385649664,344706959.73986727,Small,0
27,1.6199999999999999,4,1.480698245224013e-08,3.1628851231382806,213607676.87407988,Small,0
28,1.68,4,1.832529708943388e-08,2.496081280672298,136209594.22870722,Small,0
29,1.74,4,2.1025118056943738e-08,2.1645340192690705,102949910.35991892,Small,0
30,1.7999999999999998,4,2.1992364251049994e-08,2.0477938440667005,93113856.27713636,Small,0
31,1.8599999999999999,4,2.1407747736865914e-08,2.026364961699022,94655681.9804754,Small,0
32,1.92,4,1.8983497405825616e-08,2.0541177950052703,108205445.55582823,Small,0
33,1.98,4,1.4332853659097498e-08,2.118849520555517,147831658.0181239,Small,0
34,2.04,4,9.330929361128687e-09,2.209865617318394,236832316.67409006,Small,0
35,2.1,4,6.234158934012467e-09,2.305010827082979,369738861.5659521,Small,0
36,2.16,4,4.7837405499716625e-09,2.3753555163306626,496547731.1148769,Small,0
37,2.2199999999999998,4,3.452891440417755e-09,2.3985139134489244,694639247.956992,Small,0
38,2.28,4,1.878497925135897e-09,2.36718107475348,1260145695.7064404,Small,0
39,2.34,4,7.634034407607682e-10,2.293070753952223,3003746946.263522,Small,0
40,2.4,4,3.577791812766977e-10,2.2009856724562633,6151799175.687852,Small,0
41,2.46,4,3.3604731896670665e-10,2.11571975544051,6295898333.443099,Small,0
42,2.52,4,4.115024111191207e-10,2.052057104101441,4986743816.447327,Small,0
43,2.58,4,4.937481350606813e-10,2.012770018593044,4076511637.5491247,Small,0
44,2.6399999999999997,4,5.524792032177152e-10,1.9926989796303567,3606830751.3198733,Small,0
45,2.6999999999999997,4,5.733448216244399e-10,1.9850894038469038,3462295862.7630267,Small,0
46,2.76,4,5.590030156251984e-10,1.9851571531012229,3551245874.5521965,Small,0
47,2.82,4,5.011983107339804e-10,1.9905366736899155,3971555033.3257747,Small,0
48,2.88,4,3.946854977644896e-10,2.0000628609159774,5067485053.908474,Small,0
49,2.94,4,2.793227260894983e-10,2.0122947242944695,7204192628.600175,Small,0
50,3.0,4,1.9894527879589333e-10,2.02480105267245,10177678329.073503,Small,0
51,3.06,4,1.5140386588933981e-10,2.034668547516949,13438682926.392885,Small,0
52,3.12,4,1.0850650933717416e-10,2.0408532987857955,18808579423.046673,Small,0
53,3.1799999999999997,4,6.700101662451853e-11,2.0433557692818147,20433557692.818146,Small,0
54,3.2399999999999998,4,3.3845359888594e-11,2.042794933057363,20427949330.57363,Small,0
55,3.3,4,1.3714124220859886e-11,2.04047493571621,20404749357.162098,Small,0
0,0.0,6,3.91114496557072e-05,7.777112666266271,198844.9094760522,Small,0
1,0.06,6,3.496715739213587e-05,10.210329434966841,291997.6971666318,Small,0
2,0.12,6,3.006416007446797e-05,13.150147115134118,437402.77734557097,Small,0
3,0.18,6,2.522421356122269e-05,16.407288626302226,650457.8858912467,Small,0
4,0.24,6,2.104078156761996e-05,19.727954687508678,937605.6029148833,Small,0
5,0.3,6,1.766636406187581e-05,22.816604269817034,1291528.0240972445,Small,0
6,0.36,6,1.474498829340239e-05,25.36132520076753,1719996.2927142775,Small,0
7,0.42,6,1.122625758997683e-05,27.08123338977646,2412311.7764512612,Small,0
8,0.48,6,7.553614641856003e-06,27.250257379710682,3607578.4471068815,Small,0
9,0.54,6,4.092835999768561e-06,25.836645920828143,6312651.159804384,Small,0
10,0.6,6,1.8271601707147874e-06,23.07574561351496,12629295.440742724,Small,0
11,0.6599999999999999,6,9.545969514861876e-07,19.402163752544517,20324979.796277147,Small,0
12,0.72,6,8.286422985778526e-07,15.347196806723318,18520894.76130142,Small,0
13,0.78,6,8.94223982657161e-07,11.442774944809408,12796318.558586998,Small,0
14,0.84,6,9.72747148097477e-07,8.135915612063627,8363854.500088798,Small,0
15,0.8999999999999999,6,1.0133791557377886e-06,5.7174046141807455,5641920.481399878,Small,0
16,0.96,6,1.0015711452235785e-06,4.297892394175618,4291150.373762225,Small,0
17,1.02,6,9.510014876993259e-07,3.764572501956969,3958534.8189772735,Small,0
18,1.08,6,8.484536686053311e-07,3.8302189342290744,4514352.493195181,Small,0
19,1.14,6,6.821952051487042e-07,4.23124049550795,6202389.673181049,Small,0
20,1.2,6,5.062544907196529e-07,4.758295648212647,9399019.140449729,Small,0
21,1.26,6,3.863584976382915e-07,5.226203306524143,13526823.762051456,Small,0
22,1.3199999999999998,6,3.1449440628034567e-07,5.496844560874062,17478353.99009953,Small,0
23,1.38,6,2.399370354208543e-07,5.497082141364193,22910519.552440923,Small,0
24,1.44,6,1.4831664805438887e-07,5.216194127170338,35169309.68705225,Small,0
25,1.5,6,7.102781642198517e-08,4.702876042113298,66211750.25532139,Small,0
26,1.56,6,3.0896644081324766e-08,4.048230774554966,131024934.74370207,Small,0
27,1.6199999999999999,6,1.9129834881924306e-08,3.36964946994266,176146291.42077053,Small,0
28,1.68,6,1.826277801478945e-08,2.792029520689101,152880877.07292268,Small,0
29,1.74,6,1.9529963771930647e-08,2.4053511815602846,123162091.32028012,Small,0
30,1.7999999999999998,6,2.0226292198456285e-08,2.2076465795054334,109147369.07014158,Small,0
31,1.8599999999999999,6,1.9818158677929784e-08,2.1314250559457544,107549096.29013044,Small,0
32,1.92,6,1.8448606038869653e-08,2.120452585929795,114938363.44394697,Small,0
33,1.98,6,1.5990052084840332e-08,2.146519758082066,134240948.47802994,Small,0
34,2.04,6,1.2622842945444687e-08,2.1932326515306606,173751084.52269474,Small,0
35,2.1,6,9.564660036630773e-09,2.2447112549233754,234688033.48227447,Small,0
36,2.16,6,7.679946806490906e-09,2.28410991850689,297412205.58668655,Small,0
37,2.2199999999999998,6,6.359565724118253e-09,2.298197542960896,361376490.57468283,Small,0
38,2.28,6,4.670477780736106e-09,2.28122449367774,488434931.23699224,Small,0
39,2.34,6,2.7361054047530114e-09,2.2373899529968986,817727982.6684412,Small,0
40,2.4,6,1.3082456329242372e-09,2.178487957443997,1665197958.7155688,Small,0
41,2.46,6,6.525324492739904e-10,2.11842280762582,3246463543.6640487,Small,0
42,2.52,6,4.796416988637329e-10,2.0679111189175026,4311366430.01717,Small,0
43,2.58,6,4.822345988024324e-10,2.03183428288779,4213373092.5437307,Small,0
44,2.6399999999999997,6,5.141452922184532e-10,2.0098176917730326,3909046182.4535956,Small,0
45,2.6999999999999997,6,5.276315289602237e-10,1.998828127919889,3788303045.2309713,Small,0
46,2.76,6,5.169162085537279e-10,1.995533561722441,3860458481.86056,Small,0
47,2.82,6,4.847970827566988e-10,1.9974577207494923,4120193358.8200665,Small,0
48,2.88,6,4.259122445274055e-10,2.002888360119111,4702584595.428869,Small,0
49,2.94,6,3.444049742371585e-10,2.0103622108192103,5837204341.406718,Small,0
50,3.0,6,2.661305878597897e-10,2.0184032328158064,7584258724.439437,Small,0
51,3.06,6,2.0643799658549883e-10,2.0260493590409654,9814323877.154331,Small,0
52,3.12,6,1.6389294636407395e-10,2.032451241241815,12401090384.49343,Small,0
53,3.1799999999999997,6,1.2804492424682005e-10,2.0370071362455753,15908534822.66138,Small,0
54,3.2399999999999998,6,9.234617177248371e-11,2.0395341525587085,20395341525.587086,Small,0
55,3.3,6,5.84478271274419e-11,2.0405162654188587,20405162654.188587,Small,0
0,0.0,8,3.466265627485969e-05,11.593515666548248,334467.02914562414,Small,0
1,0.06,8,3.1329206007960085e-05,13.706511001379402,437499.4692778639,Small,0
2,0.12,8,2.7817700480278384e-05,15.910565755531422,571958.3387854566,Small,0
3,0.18,8,2.471481753973286e-05,18.07241814673919,731238.1779750146,Small,0
