time_index,time,bandwidth_steps,min_eig,max_eig,cond,task,seed
0,0.0,0,5.213924402496296e-05,2.35418336830682,45151.85082429842,Small,0
1,0.06,0,4.048250705323407e-05,3.5379610238412638,87394.81028654876,Small,0
2,0.12,0,2.3473575293972837e-05,6.964134353028328,296679.74587648205,Small,0
3,0.18,0,1.0820423053685067e-05,13.74598021761603,1270373.639682657,Small,0
4,0.24,0,4.1921399539380395e-06,23.11169475330075,5513101.90195104,Small,0
5,0.3,0,1.46575751614493e-06,34.06423235815391,23240018.88644297,Small,0
6,0.36,0,4.337310322868576e-07,43.335432281430045,99913146.75581986,Small,0
7,0.42,0,8.10985122526731e-08,48.184974513833694,594153618.5486,Small,0
8,0.48,0,5.188406233088384e-09,46.19250103643542,8903023194.646704,Small,0
9,0.54,0,1.9182679128881626e-09,38.96465014356987,20312413027.283722,Small,0
10,0.6,0,1.2643124335582029e-08,28.68974257833038,2269197218.727632,Small,0
11,0.6599999999999999,0,7.327578393945343e-08,18.570150295595287,253428203.66056398,Small,0
12,0.72,0,2.7584739356208613e-07,10.216482337716414,37036718.76608451,Small,0
13,0.78,0,6.493154873777021e-07,4.896709109736044,7541340.388339858,Small,0
14,0.84,0,1.0316588902781685e-06,2.538960165626291,2461046.1748085213,Small,0
15,0.8999999999999999,0,1.2007765492232209e-06,1.9593379324472147,1631725.6809476377,Small,0
16,0.96,0,1.0167286325542751e-06,2.002685777319018,1969734.8074950674,Small,0
17,1.02,0,5.882880740619055e-07,2.4589950452286966,4179916.5300942967,Small,0
18,1.08,0,2.4349395271007816e-07,3.6235333575217163,14881410.060463235,Small,0
19,1.14,0,7.570987187774995e-08,5.552854886076711,73343868.48577689,Small,0
20,1.2,0,2.6848259578619042e-08,7.824561475572951,291436450.5699335,Small,0
21,1.26,0,1.055520474461995e-08,9.595959447757686,909121109.436442,Small,0
22,1.3199999999999998,0,2.4291846734701707e-09,10.208988882471184,4202640084.9496984,Small,0
23,1.38,0,1.7286779902315033e-10,9.621505998542439,55658173777.372696,Small,0
24,1.44,0,1.0420434478335903e-10,7.9825897723843955,76605152971.11853,Small,0
25,1.5,0,5.704529565455544e-10,5.8833920877845385,10313544737.171875,Small,0
26,1.56,0,2.1448941520751295e-09,4.011472744625263,1870242753.351846,Small,0
27,1.6199999999999999,0,5.695894524473027e-09,2.7690869285676074,486154881.6730938,Small,0
28,1.68,0,1.1177706386518327e-08,2.1680908339833045,193965627.56365523,Small,0
29,1.74,0,1.6412095733809966e-08,1.9838829708750558,120879319.92671296,Small,0
30,1.7999999999999998,0,1.871571719074485e-08,1.9478376459841438,104074966.83842675,Small,0
31,1.8599999999999999,0,1.4534587958903613e-08,1.977278999168956,136039563.3340065,Small,0
32,1.92,0,6.93308544198186e-09,2.0770942532862633,299591613.38310504,Small,0
33,1.98,0,2.428827120454288e-09,2.260834581011363,930833883.5530196,Small,0
34,2.04,0,8.041108527036111e-10,2.538973421147255,3157491796.8220744,Small,0
35,2.1,0,3.7818402865629994e-10,2.7884934476738223,7373377076.714291,Small,0
36,2.16,0,1.7525956571833698e-10,2.928572066045049,16709912831.529057,Small,0
37,2.2199999999999998,0,3.8610087443111906e-11,2.9482189902018145,29482189902.018143,Small,0
38,2.28,0,4.033076191317483e-12,2.8022157141055617,28022157141.055614,Small,0
39,2.34,0,8.61100734628736e-12,2.5639516115746437,25639516115.746437,Small,0
40,2.4,0,2.3800306142725527e-11,2.3353288490028703,23353288490.0287,Small,0
41,2.46,0,5.0795680678562554e-11,2.159812480460896,21598124804.60896,Small,0
42,2.52,0,1.0796857175693672e-10,2.0641742498845295,19118288000.803448,Small,0
43,2.58,0,2.291241037104396e-10,2.0102055205058864,8773435391.355968,Small,0
44,2.6399999999999997,0,5.246578123996844e-10,1.9852493247397895,3783893573.717389,Small,0
