task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,gain_bias,behavior_gain_bias
small_pendulum_rich,Small,20264000,BE,-1,8,0.0010173170406006155,0.08347326890095584,0.07182138034557467,0.0023860840001361794,0.0,0.0
small_pendulum_rich,Small,20264000,Gen2,2,8,0.017985558534589993,0.06589976399516313,0.05851545679541115,0.0048954169997159624,0.0,0.0
small_pendulum_rich,Small,20265000,MBLinear,-1,4,0.11419757667947485,0.9246154356346259,0.42423133054552775,0.011030500000288157,0.0,0.0
small_pendulum_rich,Small,20264001,BE,-1,8,0.0009325482185918107,0.1004928386220383,0.08133668544181884,0.0020456250003917376,0.0,0.0
small_pendulum_rich,Small,20264001,Gen2,2,8,0.017413681879673702,0.09705727738076382,0.07184543205433509,0.005226042000231246,0.0,0.0
small_pendulum_rich,Small,20265001,MBLinear,-1,1,0.1223744729772104,0.8449313171271625,0.38433436022032086,0.005946333999872877,0.0,0.0
small_pendulum_rich,Small,20264002,BE,-1,8,0.0011548132775168372,0.08797246498856502,0.06783538755170214,0.0020086669996999262,0.0,0.0
small_pendulum_rich,Small,20264002,Gen2,2,8,0.019870488971946647,0.07878974909123725,0.054843413003109395,0.004028040999855875,0.0,0.0
small_pendulum_rich,Small,20265002,MBLinear,-1,2,0.1044217168918143,0.8341099613967464,0.3874664916396153,0.010183166999922832,0.0,0.0
small_pendulum_rich,Small,20264003,BE,-1,8,0.0021186460930057677,0.0862068167203771,0.07751031127137323,0.004377250000288768,0.0,0.0
small_pendulum_rich,Small,20264003,Gen2,2,8,0.037659219600085427,0.07237184396012852,0.06512150503203494,0.005535374999908527,0.0,0.0
small_pendulum_rich,Small,20265003,MBLinear,-1,4,0.10215243853691224,0.7259381636657635,0.34538153284343936,0.011672874999931082,0.0,0.0
small_pendulum_rich,Small,20264004,BE,-1,8,0.0016595114325319495,0.11687772625374979,0.08058575725777546,0.0031531249996987754,0.0,0.0
small_pendulum_rich,Small,20264004,Gen2,2,8,0.030492266906176232,0.10146156938116742,0.06667121923624311,0.005228832999819133,0.0,0.0
small_pendulum_rich,Small,20265004,MBLinear,-1,2,0.12015830655783667,0.6722255780093646,0.33289181763997777,0.007768624999698659,0.0,0.0
small_pendulum_rich,Small,20264005,BE,-1,8,0.0018579374245664376,0.09791525069217134,0.07549587821936164,0.002106540999648132,0.0,0.0
small_pendulum_rich,Small,20264005,Gen2,2,8,0.03242725175360451,0.08904559174674868,0.06375465717192426,0.0047927919999892765,0.0,0.0
small_pendulum_rich,Small,20265005,MBLinear,-1,4,0.10448705024810313,0.8368634739120648,0.39712419615640976,0.01319100000000617,0.0,0.0
small_pendulum_rich,Small,20264006,BE,-1,8,0.001202725681140437,0.08754292463923762,0.06800202557817785,0.0021135830002094735,0.0,0.0
small_pendulum_rich,Small,20264006,Gen2,2,8,0.023612031624839262,0.08767564839738151,0.05949882563671084,0.0041086670003096515,0.0,0.0
small_pendulum_rich,Small,20265006,MBLinear,-1,2,0.11574820764623861,0.58488506109303,0.2877108243155082,0.009800166999866633,0.0,0.0
small_pendulum_rich,Small,20264007,BE,-1,8,0.0009223561171018366,0.11857322135882127,0.08092850343784685,0.003617916999701265,0.0,0.0
small_pendulum_rich,Small,20264007,Gen2,2,8,0.017197855397907098,0.11227293196378102,0.0703275940010256,0.005228459000136354,0.0,0.0
small_pendulum_rich,Small,20265007,MBLinear,-1,4,0.1205463546106403,0.805122322429221,0.38307517428919013,0.016502334000051633,0.0,0.0
small_pendulum_rich,Small,20264008,BE,-1,6,0.00243316906699314,0.12208731114437024,0.0791260775850674,0.002750042000116082,0.0,0.0
small_pendulum_rich,Small,20264008,Gen2,2,6,0.043671916925062275,0.112716264203454,0.06842979169670915,0.0038222910002332355,0.0,0.0
small_pendulum_rich,Small,20265008,MBLinear,-1,4,0.09238741518971996,0.6540230762159011,0.3115873496488917,0.015185083999767812,0.0,0.0
small_pendulum_rich,Small,20264009,BE,-1,8,0.0011010350495712852,0.09517697288725457,0.07990088379542047,0.00307729099995413,0.0,0.0
small_pendulum_rich,Small,20264009,Gen2,2,8,0.02017224988227091,0.08659489832830147,0.06729299425445687,0.004005083000265586,0.0,0.0
small_pendulum_rich,Small,20265009,MBLinear,-1,2,0.11966615837601717,0.7554315018084747,0.3731860939182866,0.011102209000000585,0.0,0.0
small_pendulum_rich,Small,20264010,BE,-1,8,0.0009206789212958451,0.10002111025836909,0.0732255714110275,0.002367708000292623,0.0,0.0
small_pendulum_rich,Small,20264010,Gen2,2,8,0.01742058443083424,0.08954420639806511,0.06264923486321007,0.00382558399996924,0.0,0.0
small_pendulum_rich,Small,20265010,MBLinear,-1,0,0.10998750214110266,0.6086381780992574,0.3160401632928765,0.003590082999835431,0.0,0.0
small_pendulum_rich,Small,20264011,BE,-1,8,0.0014930422836605776,0.10379878017012413,0.07949662770042257,0.0016774579999037087,0.0,0.0
small_pendulum_rich,Small,20264011,Gen2,2,8,0.026408270019206526,0.09597157892620188,0.06826271970497436,0.004910832999939885,0.0,0.0
small_pendulum_rich,Small,20265011,MBLinear,-1,2,0.11585048361938104,0.688911623301616,0.3322822297940817,0.010548708999976952,0.0,0.0
small_pendulum_rich,Small,20264010,BE,-1,8,0.0008012713867297917,0.11530210863380858,0.0784900561044497,0.0029650000001311128,0.1,0.1
small_pendulum_rich,Small,20264010,Gen2,2,8,0.015263287813419605,0.11785519129308211,0.07546038021988156,0.004514000000199303,0.1,0.1
small_pendulum_rich,Small,20265010,MBLinear,-1,0,0.10645629350453494,0.599729790542414,0.30674192521981014,0.003712374999849999,0.1,0.1
small_pendulum_rich,Small,20264011,BE,-1,8,0.0013400471173760857,0.12864731079520975,0.08586102161046621,0.0022728339999957825,0.1,0.1
small_pendulum_rich,Small,20264011,Gen2,2,8,0.023674288505520887,0.13455368769744255,0.08231783347735065,0.0049054579999392445,0.1,0.1
