task,seed,order,startup_mode,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec
Medium,10,2,zero,8,0.01318581265788548,0.32758914858601856,0.2454545893334303,0.0024340830000255664
Medium,11,2,zero,8,0.016399410363317605,0.2774843425798529,0.2257211531748754,0.0032782089997454023
Medium,0,3,be,8,0.019344873748575252,0.08489149094647534,0.06345721053777277,0.00512358400010271
Medium,1,3,be,8,0.016897941709214513,0.08877207771092757,0.06723867453213216,0.005263832999844453
Medium,2,3,be,8,0.02331844151047342,0.09521319406074738,0.07392159543920811,0.0046694579996255925
Medium,3,3,be,8,0.021989014676472345,0.08798752102913197,0.06086656452218416,0.0046644580002066505
Medium,4,3,be,8,0.022410475519698467,0.10134384078100853,0.07130009347397645,0.005292542000006506
Medium,5,3,be,8,0.015369351299060576,0.09190052544775608,0.07500986921729566,0.005826749999869207
Medium,6,3,be,8,0.01978101199102625,0.12430424765497833,0.06538335731505869,0.004467624999961117
Medium,7,3,be,8,0.016377078679123174,0.1622312469926491,0.08318583024991791,0.005514375000075233
Medium,8,3,be,8,0.018268803833879264,0.07652078861157185,0.05525811930889541,0.004548542000065936
Medium,9,3,be,8,0.023887754796382624,0.09497235224504164,0.059283854613298916,0.00485416699984853
Medium,10,3,be,8,0.024149365287433618,0.0561820776253543,0.0516363322960481,0.005065709000064089
Medium,11,3,be,8,0.016700605701345975,0.11817058455455604,0.07242860967891386,0.004595874999722582
Medium,0,3,zero,8,0.01321614745499481,0.2170505740361187,0.2410143081924588,0.0026089160000992706
Medium,1,3,zero,8,0.016253282966529028,0.2960342110968006,0.27744324963080597,0.0023066250000738364
Medium,2,3,zero,8,0.010240823680481436,0.25519613703200583,0.2645588469685553,0.0027250420002928877
Medium,3,3,zero,8,0.011086114073399279,0.3950822707976409,0.36500127143837086,0.002899832999901264
Medium,4,3,zero,8,0.013599925746770438,0.37294652994817423,0.2816048437768154,0.0023270419997061254
Medium,5,3,zero,8,0.01392326460023775,0.3078229642430012,0.2572488513914672,0.002378874999976688
Medium,6,3,zero,8,0.015476504433507444,0.26458433042902507,0.245862814194408,0.003351166999891575
Medium,7,3,zero,8,0.010391887561847633,0.3130149585174786,0.3377519813468443,0.002327125000192609
Medium,8,3,zero,8,0.011067069764876593,0.21832495504107483,0.3271755820578384,0.0028266250001252047
Medium,9,3,zero,8,0.011948209865028156,0.3212850247070028,0.310940251417328,0.0023115829999369453
Medium,10,3,zero,8,0.012036612176090493,0.2709398967557825,0.32653832795037474,0.0023037920000206213
Medium,11,3,zero,8,0.024970041484998977,0.31341520248597526,0.3422189847287061,0.0031342919996859564
