task,label,seed,method,time_index,time,rmse
small_pendulum_rich,Small,20261104,Gen2,28,1.68,0.07629621352874605
small_pendulum_rich,Small,20261104,Gen2,37,2.2199999999999998,0.048586784986113137
small_pendulum_rich,Small,20261104,Gen2,46,2.76,0.03012535530355322
small_pendulum_rich,Small,20261104,Gen2,54,3.2399999999999998,0.012971778881813771
small_pendulum_rich,Small,20261104,MBLinear,0,0.0,0.6844044651110157
small_pendulum_rich,Small,20261104,MBLinear,9,0.54,0.4735941038652602
small_pendulum_rich,Small,20261104,MBLinear,18,1.08,0.2379138077710848
small_pendulum_rich,Small,20261104,MBLinear,28,1.68,0.12691757752817925
small_pendulum_rich,Small,20261104,MBLinear,37,2.2199999999999998,0.06205684301965377
small_pendulum_rich,Small,20261104,MBLinear,46,2.76,0.019567406202499513
small_pendulum_rich,Small,20261104,MBLinear,54,3.2399999999999998,0.0035889765147800747
small_pendulum_rich,Small,20261105,BE,0,0.0,0.09523770161920014
small_pendulum_rich,Small,20261105,BE,9,0.54,0.09053269406620872
small_pendulum_rich,Small,20261105,BE,18,1.08,0.09249108802358759
small_pendulum_rich,Small,20261105,BE,28,1.68,0.09084665733351191
small_pendulum_rich,Small,20261105,BE,37,2.2199999999999998,0.05725946963052569
small_pendulum_rich,Small,20261105,BE,46,2.76,0.05360807851070366
small_pendulum_rich,Small,20261105,BE,54,3.2399999999999998,0.01011252337129938
small_pendulum_rich,Small,20261105,Gen2,0,0.0,0.08576803378604608
small_pendulum_rich,Small,20261105,Gen2,9,0.54,0.0851681598133008
small_pendulum_rich,Small,20261105,Gen2,18,1.08,0.07659627429444857
small_pendulum_rich,Small,20261105,Gen2,28,1.68,0.0692525207326795
small_pendulum_rich,Small,20261105,Gen2,37,2.2199999999999998,0.04321823929232847
small_pendulum_rich,Small,20261105,Gen2,46,2.76,0.03250021167727438
small_pendulum_rich,Small,20261105,Gen2,54,3.2399999999999998,0.01043962931237242
small_pendulum_rich,Small,20261105,MBLinear,0,0.0,0.8661840770710717
small_pendulum_rich,Small,20261105,MBLinear,9,0.54,0.44681956126300065
small_pendulum_rich,Small,20261105,MBLinear,18,1.08,0.20692105327783689
small_pendulum_rich,Small,20261105,MBLinear,28,1.68,0.12357314323012049
small_pendulum_rich,Small,20261105,MBLinear,37,2.2199999999999998,0.05025589932096102
small_pendulum_rich,Small,20261105,MBLinear,46,2.76,0.017500326510077883
small_pendulum_rich,Small,20261105,MBLinear,54,3.2399999999999998,0.0036838286084727827
small_pendulum_rich,Small,20261106,BE,0,0.0,0.1120736143190276
small_pendulum_rich,Small,20261106,BE,9,0.54,0.11351475958682627
small_pendulum_rich,Small,20261106,BE,18,1.08,0.08606144418251027
small_pendulum_rich,Small,20261106,BE,28,1.68,0.0759070363430583
small_pendulum_rich,Small,20261106,BE,37,2.2199999999999998,0.0669459324436932
small_pendulum_rich,Small,20261106,BE,46,2.76,0.042598923640646734
small_pendulum_rich,Small,20261106,BE,54,3.2399999999999998,0.008561896212693992
small_pendulum_rich,Small,20261106,Gen2,0,0.0,0.10299670107867641
small_pendulum_rich,Small,20261106,Gen2,9,0.54,0.105184120432552
small_pendulum_rich,Small,20261106,Gen2,18,1.08,0.0687672012538944
small_pendulum_rich,Small,20261106,Gen2,28,1.68,0.05898633437135942
small_pendulum_rich,Small,20261106,Gen2,37,2.2199999999999998,0.05179458485985206
small_pendulum_rich,Small,20261106,Gen2,46,2.76,0.028735461288643984
small_pendulum_rich,Small,20261106,Gen2,54,3.2399999999999998,0.009038141340101509
small_pendulum_rich,Small,20261106,MBLinear,0,0.0,0.7208552118565889
small_pendulum_rich,Small,20261106,MBLinear,9,0.54,0.44680013578797156
small_pendulum_rich,Small,20261106,MBLinear,18,1.08,0.2759063771766586
small_pendulum_rich,Small,20261106,MBLinear,28,1.68,0.12302434510252525
small_pendulum_rich,Small,20261106,MBLinear,37,2.2199999999999998,0.06761956427680235
small_pendulum_rich,Small,20261106,MBLinear,46,2.76,0.019739737238965147
small_pendulum_rich,Small,20261106,MBLinear,54,3.2399999999999998,0.004174783761646439
small_pendulum_rich,Small,20261107,BE,0,0.0,0.1005840920066037
small_pendulum_rich,Small,20261107,BE,9,0.54,0.09196784855741019
small_pendulum_rich,Small,20261107,BE,18,1.08,0.08659060416818017
small_pendulum_rich,Small,20261107,BE,28,1.68,0.0712940795399054
small_pendulum_rich,Small,20261107,BE,37,2.2199999999999998,0.060796157954914144
small_pendulum_rich,Small,20261107,BE,46,2.76,0.06016218402576719
small_pendulum_rich,Small,20261107,BE,54,3.2399999999999998,0.007828084134218923
small_pendulum_rich,Small,20261107,Gen2,0,0.0,0.09407637200226039
small_pendulum_rich,Small,20261107,Gen2,9,0.54,0.08290734479556969
small_pendulum_rich,Small,20261107,Gen2,18,1.08,0.06915144588585348
small_pendulum_rich,Small,20261107,Gen2,28,1.68,0.05336217837643101
small_pendulum_rich,Small,20261107,Gen2,37,2.2199999999999998,0.04601354223868355
small_pendulum_rich,Small,20261107,Gen2,46,2.76,0.034873795809939954
small_pendulum_rich,Small,20261107,Gen2,54,3.2399999999999998,0.007490690253280588
small_pendulum_rich,Small,20261107,MBLinear,0,0.0,0.6864550707444759
small_pendulum_rich,Small,20261107,MBLinear,9,0.54,0.4523773885962551
small_pendulum_rich,Small,20261107,MBLinear,18,1.08,0.25720364072347296
small_pendulum_rich,Small,20261107,MBLinear,28,1.68,0.12970118002319472
small_pendulum_rich,Small,20261107,MBLinear,37,2.2199999999999998,0.06835033560444989
small_pendulum_rich,Small,20261107,MBLinear,46,2.76,0.01771255234067377
small_pendulum_rich,Small,20261107,MBLinear,54,3.2399999999999998,0.003073218862567946
small_pendulum_rich,Small,20261108,BE,0,0.0,0.11090091328526495
small_pendulum_rich,Small,20261108,BE,9,0.54,0.1023265048804978
small_pendulum_rich,Small,20261108,BE,18,1.08,0.09699757767243739
small_pendulum_rich,Small,20261108,BE,28,1.68,0.09743548309481981
small_pendulum_rich,Small,20261108,BE,37,2.2199999999999998,0.08141747785286439
small_pendulum_rich,Small,20261108,BE,46,2.76,0.06179315236564299
small_pendulum_rich,Small,20261108,BE,54,3.2399999999999998,0.009141191000864211
small_pendulum_rich,Small,20261108,Gen2,0,0.0,0.10179104661166061
small_pendulum_rich,Small,20261108,Gen2,9,0.54,0.09336993704818276
small_pendulum_rich,Small,20261108,Gen2,18,1.08,0.08238383283537315
small_pendulum_rich,Small,20261108,Gen2,28,1.68,0.0755225713476008
