method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,family,dt,horizon_steps
BE,-1,24,0.0011906777475700937,0.05762507033890659,0.03628284154137571,0.0013277500111144036,Small,0.12,32
Gen1,1,24,0.00912129600582549,0.04713524999239965,0.02805526477689431,0.0026578749966574833,Small,0.12,32
Gen2,2,24,0.009433619514845906,0.04843430394917048,0.03182324385966151,0.0025897499872371554,Small,0.12,32
Gen3,3,24,0.00995916680282227,0.10630766931713596,0.07576866572842698,0.0026012079906649888,Small,0.12,32
BE,-1,24,0.002268150642532875,0.0628378438593278,0.03926511500556884,0.00138208300631959,Small,0.12,32
Gen1,1,24,0.01761168505906603,0.051099989188177486,0.02886486648407503,0.0029398339975159615,Small,0.12,32
Gen2,2,24,0.01361151251272457,0.04954392381523559,0.03471173157048166,0.0028630000015255064,Small,0.12,32
Gen3,3,16,0.015813716094885844,0.11685737890606494,0.06672932744296678,0.0026653749955585226,Small,0.12,32
BE,-1,24,0.0029410712229574025,0.06624291266913361,0.03951537402585011,0.0012804580037482083,Small,0.12,32
Gen1,1,24,0.02469997017417267,0.052374097133888985,0.03139959687531509,0.0026765420043375343,Small,0.12,32
Gen2,2,24,0.024871519029431164,0.07460426891628003,0.04124693553103145,0.002817041997332126,Small,0.12,32
Gen3,3,12,0.023771365814500862,0.10553320261164013,0.06184706925008214,0.002622541011078283,Small,0.12,32
BE,-1,16,0.0037198837256339347,0.07068339107074245,0.04610057171523939,0.0029017919878242537,Small,0.12,32
Gen1,1,16,0.031777847677436064,0.051794059931803825,0.032553322475222836,0.0026122090057469904,Small,0.12,32
Gen2,2,16,0.03386803582371682,0.07824748291649013,0.04213987108273231,0.002590624993899837,Small,0.12,32
Gen3,3,12,0.03306186716377103,0.08842664958888656,0.05065340186589437,0.0026760420005302876,Small,0.12,32
BE,-1,24,0.0025385875923528674,0.05598050712927407,0.03850079643788998,0.001389416996971704,Small,0.12,32
Gen1,1,24,0.020697625851398928,0.045256522827700554,0.030590303058130573,0.0028067910025129095,Small,0.12,32
Gen2,2,24,0.019999171637277893,0.044356188595742,0.03412935641889985,0.0026547909947112203,Small,0.12,32
Gen3,3,16,0.020238994882258134,0.08324799949662749,0.05455216953569207,0.0026247079949826,Small,0.12,32
BE,-1,24,0.002485204335732183,0.06243485399527906,0.038424648635879376,0.001298125003813766,Small,0.12,32
Gen1,1,24,0.020597418446334476,0.05308672549968509,0.030341438965952584,0.003373542000190355,Small,0.12,32
Gen2,2,24,0.02227934970909402,0.0502417926869354,0.03600369358011737,0.002805666998028755,Small,0.12,32
Gen3,3,12,0.02381922780145928,0.08103929623280602,0.06197252238843338,0.003366125005413778,Small,0.12,32
BE,-1,24,0.001179701993108983,0.051309011603759676,0.036279735650466195,0.0017249170050490648,Small,0.12,32
Gen1,1,24,0.00890631302712759,0.04020952922275355,0.02636202210184576,0.00277033299789764,Small,0.12,32
Gen2,2,24,0.010529230381889722,0.061342616730388703,0.034344333400851884,0.0027809159946627915,Small,0.12,32
Gen3,3,12,0.011949747224075602,0.07336562988787083,0.05173594262824591,0.002595917001599446,Small,0.12,32
BE,-1,12,0.0028185603725322354,0.07101895843238376,0.05186665474419336,0.0012863750016549602,Small,0.12,32
Gen1,1,16,0.024452820155383023,0.05494645457515793,0.03479378518034263,0.002583333000075072,Small,0.12,32
Gen2,2,16,0.02689420395261504,0.04220386203752855,0.043347687525551404,0.0026150420017074794,Small,0.12,32
Gen3,3,12,0.02721066988037946,0.05787529589497719,0.05990685433047167,0.002984792008646764,Small,0.12,32
BE,-1,16,0.0006829608517996883,0.06632428810784104,0.043714343054180184,0.0014317500026663765,Small,0.12,32
Gen1,1,24,0.00462055666667812,0.04338697903040494,0.030375261251260124,0.0026619590062182397,Small,0.12,32
Gen2,2,16,0.005685725004921848,0.052466713144567204,0.03890927864819921,0.00272829199093394,Small,0.12,32
Gen3,3,12,0.006664118727700207,0.06082281150742938,0.05046756172052432,0.0025863339978968725,Small,0.12,32
BE,-1,12,0.001356421921076636,0.0703358810240073,0.049387241327949964,0.0013546670088544488,Small,0.12,32
Gen1,1,24,0.01068752144446073,0.052850581752600274,0.03153511788655022,0.0027114160038763657,Small,0.12,32
Gen2,2,16,0.012023907916043675,0.05432627057849679,0.03926933778931872,0.0026032500027213246,Small,0.12,32
