task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,gain_bias,dimension,horizon_mode
networked_lq_48d_linear,D48,20271481,Gen2,2,8,2.0722291970134576,11.329319457502931,9.950723408119199,0.018516707999879145,0.0,48,48
networked_lq_48d_linear,D48,20271482,BE,-1,8,0.09684783535106685,13.471960750608789,7.816412608470295,0.0030067089996919094,0.0,48,48
networked_lq_48d_linear,D48,20271482,Gen2,2,8,1.5410038647406543,13.569907481622899,7.891937110618915,0.006085582999730832,0.0,48,48
networked_lq_48d_linear,D48,20271483,BE,-1,8,0.12356891891479449,12.6228620600883,7.842620346803518,0.0030462089998763986,0.0,48,48
networked_lq_48d_linear,D48,20271483,Gen2,2,8,1.9437760647441036,12.496345974270463,7.804692830779789,0.0062425829996755056,0.0,48,48
networked_lq_48d_linear,D48,20271484,BE,-1,8,0.10777535261389098,13.660056033957462,8.844766884753243,0.006243833000098675,0.0,48,48
networked_lq_48d_linear,D48,20271484,Gen2,2,8,1.7499468990475402,13.957687170008835,8.933118635512251,0.010706042000037996,0.0,48,48
networked_lq_12d_quadratic,Large,20272320,BE,-1,8,0.01210012844064132,0.41345415638506755,0.30349248672913337,0.008705250000275555,0.0,12,32
networked_lq_12d_quadratic,Large,20272320,Gen2,2,8,0.17566734336986634,0.29048618256610853,0.2320591342782809,0.023190457999589853,0.0,12,32
networked_lq_12d_quadratic,Large,20272321,BE,-1,8,0.009219081646960857,0.23940327562879485,0.24965143431915163,0.00850608300015665,0.0,12,32
networked_lq_12d_quadratic,Large,20272321,Gen2,2,8,0.1525801483058382,0.13662594102424133,0.16682595687120982,0.014501541999834444,0.0,12,32
networked_lq_12d_quadratic,Large,20272322,BE,-1,8,0.00875253598823733,0.41758155094353494,0.24827953315645315,0.009330332999979873,0.0,12,32
networked_lq_12d_quadratic,Large,20272322,Gen2,2,8,0.15686948891396868,0.2513708786452353,0.16504867027928674,0.013027083999986644,0.0,12,32
networked_lq_12d_quadratic,Large,20272323,BE,-1,8,0.011051458247553079,0.5443784237936924,0.3221182348722711,0.008546250000108557,0.0,12,32
networked_lq_12d_quadratic,Large,20272323,Gen2,2,8,0.1597535836547445,0.3669940750693835,0.2350542914386147,0.020666875000188156,0.0,12,32
networked_lq_12d_quadratic,Large,20272324,BE,-1,8,0.009890160800112825,0.3261141935575543,0.24146065735005892,0.009627709000142204,0.0,12,32
networked_lq_12d_quadratic,Large,20272324,Gen2,2,8,0.15204130782854935,0.26447706811488275,0.1792397061513601,0.02034975000015038,0.0,12,32
networked_lq_12d_quadratic,Large,20272480,BE,-1,8,0.013701246578416934,0.5346448881823925,0.36352944457308745,0.014871583000058308,0.0,12,48
networked_lq_12d_quadratic,Large,20272480,Gen2,2,8,0.16128744193645086,0.2700805627355992,0.20399118031258312,0.027409499999976106,0.0,12,48
networked_lq_12d_quadratic,Large,20272481,BE,-1,8,0.011670492654806575,0.5217166431887027,0.36405974871157215,0.019222500000068976,0.0,12,48
networked_lq_12d_quadratic,Large,20272481,Gen2,2,8,0.15230193865264313,0.24352249524931188,0.177138188354158,0.029840166999747453,0.0,12,48
networked_lq_12d_quadratic,Large,20272482,BE,-1,8,0.011823391659338678,0.8121919281494657,0.4460085894821609,0.013891290999708872,0.0,12,48
networked_lq_12d_quadratic,Large,20272482,Gen2,2,8,0.15115827505569335,0.5362209626193124,0.28353607969599515,0.03360191699994175,0.0,12,48
networked_lq_12d_quadratic,Large,20272483,BE,-1,8,0.010651648006579093,0.4626630014402451,0.34052082890825325,0.013315125000190164,0.0,12,48
networked_lq_12d_quadratic,Large,20272483,Gen2,2,8,0.15565891996678252,0.4404312457727325,0.26261177713484113,0.038144624999858934,0.0,12,48
networked_lq_12d_quadratic,Large,20272484,BE,-1,8,0.010285440911666518,0.744915830949967,0.5053686372718899,0.010942583000087325,0.0,12,48
networked_lq_12d_quadratic,Large,20272484,Gen2,2,8,0.14650316212940623,0.465369413513883,0.2989329292076449,0.03307016700000531,0.0,12,48
networked_lq_12d_quadratic,Large,20272640,BE,-1,8,0.010930630521312969,0.8923290298543879,0.5338263960184182,0.016006832999664766,0.0,12,64
networked_lq_12d_quadratic,Large,20272640,Gen2,2,8,0.133052213574034,0.41432963884348745,0.23570590009179213,0.02705933399965943,0.0,12,64
networked_lq_12d_quadratic,Large,20272641,BE,-1,8,0.01069175336712208,0.6881769735348664,0.49237478056490097,0.019829415999993216,0.0,12,64
networked_lq_12d_quadratic,Large,20272641,Gen2,2,8,0.1468755818480046,0.3861964874175759,0.24001910894397907,0.038276957999642036,0.0,12,64
networked_lq_12d_quadratic,Large,20272642,BE,-1,8,0.009438535013053289,0.4905024543955695,0.38059977549892754,0.01911670800018328,0.0,12,64
networked_lq_12d_quadratic,Large,20272642,Gen2,2,8,0.13034818767210057,0.2982377965291444,0.1937126303389004,0.03493537500025923,0.0,12,64
networked_lq_12d_quadratic,Large,20272643,BE,-1,8,0.008054390742827083,0.6799731814062725,0.5459686255700202,0.02296158400031345,0.0,12,64
networked_lq_12d_quadratic,Large,20272643,Gen2,2,8,0.13126321813446198,0.3184596030319932,0.22540949778778827,0.05130374999998821,0.0,12,64
networked_lq_12d_quadratic,Large,20272644,BE,-1,8,0.012745752471203013,0.7919283529876872,0.46660091100472456,0.02125262500021563,0.0,12,64
networked_lq_12d_quadratic,Large,20272644,Gen2,2,8,0.15886104482873964,0.4728370726715341,0.27935239467263745,0.05234987500034549,0.0,12,64
