episodes,nonstat_scale,seed,be_integrated_rmse,gen2_integrated_rmse,relative_gain
120,0.0,0,0.10607328912386921,0.09023610311363399,0.14930418525761963
120,0.0,1,0.09879910453297745,0.08599332428731482,0.12961433513183596
120,0.0,2,0.09361564640055951,0.07790504096504042,0.16782029542686785
120,0.0,3,0.0968898119242402,0.0828688490637219,0.14471039402451866
120,0.0,4,0.09773594020793984,0.08253791080645637,0.15550092800200863
120,0.0,5,0.08672719035599612,0.07255652466186702,0.16339357514017946
120,0.0,6,0.13091579570391643,0.11763987130029478,0.10140811757846946
120,0.0,7,0.1355278187425281,0.12182918365895497,0.10107618650306326
120,0.0,8,0.11786246162281948,0.10568163893416317,0.10334777096067341
120,0.0,9,0.09696495395466666,0.0806714156587237,0.1680353326786559
120,0.0,10,0.09549200114591445,0.08185646044261298,0.14279249088586995
120,0.0,11,0.07848524924760938,0.06304885872612231,0.19667887494104191
120,0.5,0,0.072828740769185,0.064497201494635,0.11439905711064004
120,0.5,1,0.0956156779400942,0.0865829618670553,0.0944689852923297
120,0.5,2,0.08068498696107214,0.06681406420525031,0.17191454418297292
120,0.5,3,0.06692388469945038,0.05566671817716359,0.1682085039271373
120,0.5,4,0.10577497175380697,0.0943129278496512,0.10836253334894638
120,0.5,5,0.08327530068700412,0.06884599472020278,0.1732723370286571
120,0.5,6,0.07815641044481825,0.06677149607391772,0.14566833745440194
120,0.5,7,0.08832170871966735,0.07351090555404924,0.16769153790522245
120,0.5,8,0.09015263679036833,0.07648572361676648,0.1515974868863957
120,0.5,9,0.07030787946471602,0.05688800293989124,0.19087300921313574
120,0.5,10,0.08107485061526282,0.06856711644176931,0.15427390958570386
120,0.5,11,0.08608446280177459,0.07475754154204958,0.13157915947976978
120,1.0,0,0.07335736412680165,0.06307770677516686,0.14013122573305548
120,1.0,1,0.07250722302704654,0.06415313137565001,0.11521737149249664
120,1.0,2,0.1106887203095136,0.10381320796140588,0.062115745207660326
120,1.0,3,0.07288649274677006,0.0591844042881228,0.1879921497423741
120,1.0,4,0.08452033252486774,0.07613633679554549,0.0991950159076278
120,1.0,5,0.05922893454122052,0.048011817876602574,0.18938575801682478
120,1.0,6,0.06878271930079098,0.057138308823252076,0.1692926740307721
120,1.0,7,0.0780500797202667,0.06925324466330952,0.11270757299012683
120,1.0,8,0.10156417675090491,0.09313426978239552,0.08300079061522339
120,1.0,9,0.07693926067747325,0.06515943146406758,0.15310556807643777
120,1.0,10,0.08329573578108869,0.06952799262903524,0.1652874906854386
120,1.0,11,0.08407505105448299,0.07577703726448316,0.09869769552233132
120,1.5,0,0.06211187298116578,0.056942372098130585,0.0832288680877929
120,1.5,1,0.06336508658993843,0.05423524061562502,0.14408322414828223
120,1.5,2,0.06924221223746897,0.05708482219981095,0.17557772411955525
120,1.5,3,0.07916166854290249,0.07297926639988045,0.07809843143555552
120,1.5,4,0.08817937491835418,0.07140002649282946,0.19028654309537593
120,1.5,5,0.08865193415874252,0.08117282694963393,0.0843648509204131
120,1.5,6,0.06307527205526776,0.052813737474340886,0.16268712359949117
120,1.5,7,0.06461420382155963,0.05218405419922284,0.19237487869794448
120,1.5,8,0.0755882164063487,0.06842840164242661,0.09472130848321929
120,1.5,9,0.0750405417010168,0.06850321568791491,0.0871172550852376
120,1.5,10,0.07477681492106975,0.0654272701842115,0.125032668838959
120,1.5,11,0.09138502653616855,0.08269262828466281,0.09511840813511656
120,2.0,0,0.07092440022240094,0.06343934649651507,0.10553566477001765
120,2.0,1,0.07300725925254048,0.06490341707282606,0.1110004986172992
120,2.0,2,0.0769658177577523,0.07061318678876558,0.08253834174778012
120,2.0,3,0.07610349389455603,0.07194359228914571,0.0546611120269197
120,2.0,4,0.06747722217076481,0.05717006600005204,0.15275015537285186
120,2.0,5,0.06503281994270504,0.058224345706494915,0.10469289571340293
120,2.0,6,0.08211824581603037,0.08248654937300483,-0.004485039266420328
120,2.0,7,0.06770843104397445,0.06373055599477272,0.05875006978995319
120,2.0,8,0.08177552539383495,0.07728589990285364,0.05490182385694315
120,2.0,9,0.04944423918835602,0.04388139954724782,0.11250733619172028
120,2.0,10,0.09402783734705375,0.08951617009728723,0.04798225054474138
120,2.0,11,0.060596940711002655,0.05137354127801344,0.15220899479030153
240,0.0,0,0.10910675377383836,0.09334502085323851,0.14446156975095706
240,0.0,1,0.0778293865106632,0.05862472981909729,0.24675328372188485
240,0.0,2,0.07731030348522805,0.06137921835253612,0.20606677783558228
240,0.0,3,0.09844647881445588,0.07811964100659348,0.20647602689957875
240,0.0,4,0.09560728467584244,0.07777186640369234,0.18654873770990657
240,0.0,5,0.06908536294129508,0.0544161529714261,0.2123345575000317
240,0.0,6,0.07857416335973728,0.06386079610440124,0.1872545201400824
240,0.0,7,0.08838338289545399,0.07145698307727814,0.19151111061450957
240,0.0,8,0.09675103767238766,0.08049848102510823,0.16798327995522716
240,0.0,9,0.10243153258237407,0.08528172196386336,0.16742706260612733
240,0.0,10,0.09755456539521153,0.0864628969347143,0.11369707215200876
240,0.0,11,0.09489228911067016,0.08184152119289158,0.1375324385162407
240,0.5,0,0.08535626640883243,0.06768026428473622,0.20708499642466952
240,0.5,1,0.07608723512170472,0.06385868292097419,0.16071752615495163
240,0.5,2,0.0773640100910133,0.061605933092544286,0.20368743786588558
240,0.5,3,0.08200272009663138,0.07147478412447028,0.12838520429267547
240,0.5,4,0.08421534409691968,0.068606958894063,0.18533897082809142
240,0.5,5,0.07275883408246077,0.0557162850813972,0.234233398816541
240,0.5,6,0.09783763967363725,0.08669020251785342,0.11393812435550353
240,0.5,7,0.08417057426810574,0.0696529511998632,0.1724786030566934
240,0.5,8,0.0940077280758957,0.08062077961835168,0.14240263786330712
240,0.5,9,0.08669187344754524,0.07085978463306554,0.18262483188876108
240,0.5,10,0.07499950812057903,0.06298201649571313,0.16023427254409467
240,0.5,11,0.10116728361418605,0.08635658745485347,0.14639808078484143
240,1.0,0,0.08455837290252016,0.07789158339943487,0.07884245254779013
240,1.0,1,0.09041997213739648,0.08060874588319795,0.10850729127951964
240,1.0,2,0.07650067796264684,0.06590164783571757,0.13854818557430928
240,1.0,3,0.08729586752975373,0.08024299070681454,0.08079279148620984
240,1.0,4,0.07780673711077712,0.0630800966278606,0.1892720480226476
240,1.0,5,0.07443496273516916,0.06168470694971705,0.17129390970229968
240,1.0,6,0.08034542826622444,0.06840693157352819,0.14858962047147306
240,1.0,7,0.07743059431511906,0.06391820338890712,0.17450971474170276
240,1.0,8,0.06650876417235002,0.06091817735032625,0.08405789660346702
240,1.0,9,0.09897428902338123,0.08802039665654178,0.11067412026826237
240,1.0,10,0.07779247299632303,0.06860817752406918,0.11806149256481345
240,1.0,11,0.07174559090780866,0.06740513233552706,0.06049791377227607
240,1.5,0,0.07607049274682867,0.06986373589105498,0.0815921736754157
