task,label,seed,method,time_index,time,rmse
large_lq,Large,20260326,Gen2,10,0.8,0.2860232340602186
large_lq,Large,20260326,Gen2,16,1.28,0.1531391227854969
large_lq,Large,20260326,Gen2,24,1.92,0.093707999812665
large_lq,Large,20260326,Gen2,30,2.4,0.06449363451021145
large_lq,Large,20260337,BE,0,0.0,0.5737517222583474
large_lq,Large,20260337,BE,5,0.4,0.6583087481269354
large_lq,Large,20260337,BE,10,0.8,0.2977009366718757
large_lq,Large,20260337,BE,16,1.28,0.286233132950432
large_lq,Large,20260337,BE,24,1.92,0.15242069027557545
large_lq,Large,20260337,BE,30,2.4,0.11383560887011537
large_lq,Large,20260337,Gen2,0,0.0,0.43190170647821424
large_lq,Large,20260337,Gen2,5,0.4,0.5138762845282587
large_lq,Large,20260337,Gen2,10,0.8,0.1837507762841339
large_lq,Large,20260337,Gen2,16,1.28,0.17155993446843953
large_lq,Large,20260337,Gen2,24,1.92,0.08747492978341319
large_lq,Large,20260337,Gen2,30,2.4,0.09892536984664269
large_lq,Large,20260348,BE,0,0.0,0.42600244534746723
large_lq,Large,20260348,BE,5,0.4,0.3605790206765178
large_lq,Large,20260348,BE,10,0.8,0.6465831588790706
large_lq,Large,20260348,BE,16,1.28,0.48592064409394803
large_lq,Large,20260348,BE,24,1.92,0.28581215537871796
large_lq,Large,20260348,BE,30,2.4,0.13203438040575
large_lq,Large,20260348,Gen2,0,0.0,0.4255377193176596
large_lq,Large,20260348,Gen2,5,0.4,0.19541670652177542
large_lq,Large,20260348,Gen2,10,0.8,0.3592715806155923
large_lq,Large,20260348,Gen2,16,1.28,0.2781150036617559
large_lq,Large,20260348,Gen2,24,1.92,0.15223240891143447
large_lq,Large,20260348,Gen2,30,2.4,0.11765439886974514
