Scale,Seeds,BE RMSE,BE CI,BE t0,BE t0 CI,BE runtime,BE runtime CI,BE mode h,Gen2 RMSE,Gen2 CI,Gen2 t0,Gen2 t0 CI,Gen2 runtime,Gen2 runtime CI,Gen2 mode h,MBLinear RMSE,MBLinear CI,MBLinear t0,MBLinear t0 CI,MBLinear runtime,MBLinear runtime CI,MBLinear mode h,Gen2 vs BE gain,Gen2 vs MB gain
Small,24,0.07978456788493728,0.002358879367264817,0.10503258908902526,0.005590258610540532,0.0026924357083354757,0.00018867313424082653,8,0.0691711937281296,0.002597515218200981,0.0997837748743458,0.007222575218185677,0.005170944375019341,0.0002680029533553917,8,0.3626316128147053,0.016584047091869582,0.7886799295686341,0.04431594928238044,0.010656637208285247,0.0019833280351238807,1,0.13302540125446236,0.8092521686368416
Medium,24,0.11293958426863,0.005675737714488346,0.16472129097831192,0.012176409597888906,0.0026312830000089584,0.00018858740913981688,8,0.0590065010245191,0.0023602205746952316,0.08530552894797679,0.0060243975633473,0.005387352458380216,0.0002773883957681212,8,0.5167474746461158,0.052814571561959345,1.0212666150741512,0.13670549494350606,0.027382638916681874,0.006175662631571493,2,0.4775392400580255,0.8858117283206298
Large,14,0.3832789421318391,0.0215899416503056,0.5535024896064484,0.06342957786480884,0.014290175928603535,0.002542078404735549,8,0.22635124923626262,0.015903893498043158,0.3582402745028261,0.062119647369780324,0.0356384075713387,0.004061285405124026,8,3.2500433182047437,0.2683422735910448,5.384718326168,0.4779574931699358,0.06228669035707363,0.013377192791132886,8,0.409434684887011,0.9303543900573934
XLarge,10,0.7798017794855114,0.04037139999601067,1.0792210377073563,0.13760003523334824,0.1530183333999048,0.008424718000761623,8,0.4823046039785841,0.024585021760572336,0.745259700837722,0.09799485616448235,0.31174002069997186,0.021908107390679422,8,4.811380512890605,0.37907551557582947,8.603703708879866,1.0932024835174634,0.12548102499990818,0.03334165719761842,4,0.38150358633857767,0.8997575430406307
