Scale,Method,Integrated RMSE,Integrated CI,t0 RMSE,t0 CI,Mode bandwidth
Small,BE,0.08289344123702917,0.005239962299401536,0.0996981432734327,0.008317158033277226,4
Small,Gen1,0.0880234954925904,0.02172136896004385,0.11326618721189885,0.03323467232186614,4
Small,Gen2,0.07745629361570634,0.007701571727571742,0.09988504892823044,0.012641106185208844,4
Small,Gen3,0.07684915160441215,0.006213042089395106,0.10880518561681782,0.012777481850997488,4
Medium,BE,0.13831655740163634,0.028546815507281373,0.18640813545475368,0.036350667428434985,4
Medium,Gen1,0.08565729751131945,0.013482177599859348,0.11723154169699994,0.020130679328219207,4
Medium,Gen2,0.08350766294016157,0.012246641604643078,0.11370481460582516,0.013777429124851444,4
Medium,Gen3,0.08937160823488617,0.014213192393593194,0.12203326004059797,0.016491900957727918,4
