Scale,Seeds,BE RMSE,BE CI,BE t0,BE t0 CI,BE runtime,BE runtime CI,BE mode h,Gen2 RMSE,Gen2 CI,Gen2 t0,Gen2 t0 CI,Gen2 runtime,Gen2 runtime CI,Gen2 mode h,MBLinear RMSE,MBLinear CI,MBLinear t0,MBLinear t0 CI,MBLinear runtime,MBLinear runtime CI,MBLinear mode h,Gen2 vs BE gain,Gen2 vs MB gain
Small,2,0.07810696590757649,0.01103111336358161,0.10363455225554116,0.0051609223869188295,0.0015839420000247628,8.389780004108615e-05,6,0.08004558346327129,0.027098097781336126,0.10252509634906184,0.006062692320034729,0.0031911749998698724,2.16481999041207e-05,4,0.4112550179515034,0.0903593932509681,0.7105563556097464,0.23483862308017206,0.003099328500070442,0.0021164462199567417,0,-0.024820034079786866,0.8053626582795629
Medium,2,0.1243614918935525,0.05079488188340544,0.20898188877085072,0.13105633291460278,0.002097825999953784,0.0007544118398618593,8,0.09431413141057401,0.03970253285949833,0.1579354875104721,0.10025060915075429,0.0034994345000995963,2.8920779868712998e-05,8,0.42797665853182176,0.19797520567987886,0.7619162770556023,0.3854314156556221,0.00431143750006413,0.002376869459785666,1,0.2416130590383846,0.7796278616359136
Large,1,4.150619318376485,0.0,7.576852168983592,0.0,0.0013836099999480211,0.0,8,4.149688316964573,0.0,7.583975786968263,0.0,0.002809922000096776,0.0,8,1.9133563737594597,0.0,4.039383622987323,0.0,0.011708097999871825,0.0,8,0.00022430421594917481,-1.1688005297262292
XLarge,1,6.352526397652672,0.0,8.38387178616919,0.0,0.001919002000022374,0.0,8,6.351640103545027,0.0,8.358265765683049,0.0,0.0037377690000539587,0.0,8,3.0253341914379526,0.0,4.971067628001393,0.0,0.019563172000061968,0.0,6,0.0001395183667354611,-1.0994837930701697
